hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	FALSE	FALSE	GO:0006650	glycerophospholipid metabolic process	0.0204	75	4	1.54	0.053	1.69	AN0137,AN10701,AN4997,AN6496
FALSE	TRUE	FALSE	FALSE	GO:0045493	xylan catabolic process	0.0325	14	2	0.29	0.143	1.488	AN5267,AN8401
FALSE	TRUE	FALSE	FALSE	GO:0007531	mating type determination	0.0405	16	2	0.33	0.125	1.393	AN2755,AN8713
FALSE	TRUE	FALSE	FALSE	GO:1903509	liposaccharide metabolic process	0.0406	46	2	0.94	0.043	1.391	AN1663,AN6496
FALSE	TRUE	FALSE	TRUE	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00012	52	7	1.78	0.135	3.921	AN0133,AN0465,AN3313,AN3745,AN5960,AN6561,AN8870
FALSE	TRUE	FALSE	TRUE	GO:0000122	negative regulation of transcription by RNA polymerase II	0.00027	63	9	2.16	0.143	3.569	AN0156,AN1132,AN1272,AN2854,AN3879,AN4182,AN5643,AN6221,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0006369	termination of RNA polymerase II transcription	0.00073	14	5	0.48	0.357	3.137	AN2854,AN4269,AN5124,AN5643,AN8276
FALSE	TRUE	FALSE	TRUE	GO:0030448	hyphal growth	0.00074	188	16	6.45	0.085	3.131	AN0118,AN0144,AN10184,AN1191,AN1661,AN2129,AN2246,AN3441,AN4182,AN5020,AN6305,AN6542,AN7185,AN7602,AN8182,AN8842
FALSE	TRUE	FALSE	TRUE	GO:0075307	positive regulation of conidium formation	0.00076	13	4	0.45	0.308	3.119	AN10184,AN1661,AN1937,AN7542
FALSE	TRUE	FALSE	TRUE	GO:0009144	purine nucleoside triphosphate metabolic process	0.00115	84	9	2.88	0.107	2.939	AN0271,AN0357,AN1246,AN1523,AN3954,AN4525,AN4690,AN5162,AN8861
FALSE	TRUE	FALSE	TRUE	GO:0050821	protein stabilization	0.00126	7	3	0.24	0.429	2.9	AN0156,AN0241,AN1661
FALSE	TRUE	FALSE	TRUE	GO:0043966	histone H3 acetylation	0.00126	7	3	0.24	0.429	2.9	AN10956,AN1191,AN3879
FALSE	TRUE	FALSE	TRUE	GO:0005993	trehalose catabolic process	0.00197	8	3	0.27	0.375	2.706	AN3441,AN4182,AN6305
FALSE	TRUE	FALSE	TRUE	GO:0044764	multi-organism cellular process	0.00342	122	7	4.18	0.057	2.466	AN10184,AN2047,AN4182,AN5686,AN5791,AN6305,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0043171	peptide catabolic process	0.00343	9	3	0.31	0.333	2.465	AN2213,AN3459,AN4282
FALSE	TRUE	FALSE	TRUE	GO:0016226	iron-sulfur cluster assembly	0.00351	19	4	0.65	0.211	2.455	AN0447,AN10237,AN2155,AN3632
FALSE	TRUE	FALSE	TRUE	GO:0005997	xylulose metabolic process	0.00538	11	3	0.38	0.273	2.269	AN2666,AN8790,AN9114
FALSE	TRUE	FALSE	TRUE	GO:0001300	chronological cell aging	0.00699	12	3	0.41	0.25	2.156	AN0241,AN2246,AN6542
FALSE	TRUE	FALSE	TRUE	GO:0006904	vesicle docking involved in exocytosis	0.00886	13	3	0.45	0.231	2.053	AN0462,AN2518,AN6210
FALSE	TRUE	FALSE	TRUE	GO:0030466	chromatin silencing at silent mating-type cassette	0.00967	35	5	1.2	0.143	2.015	AN1039,AN10621,AN1191,AN2854,AN3879
FALSE	TRUE	FALSE	TRUE	GO:0006096	glycolytic process	0.00973	25	4	0.86	0.16	2.012	AN1246,AN3954,AN4690,AN5162
FALSE	TRUE	FALSE	TRUE	GO:0032210	regulation of telomere maintenance via telomerase	0.01095	5	2	0.17	0.4	1.961	AN4182,AN7423
FALSE	TRUE	FALSE	TRUE	GO:0051341	regulation of oxidoreductase activity	0.01095	5	2	0.17	0.4	1.961	AN4465,AN5722
FALSE	TRUE	FALSE	TRUE	GO:0051601	exocyst localization	0.01095	5	2	0.17	0.4	1.961	AN0462,AN6210
FALSE	TRUE	FALSE	TRUE	GO:0006089	lactate metabolic process	0.01095	5	2	0.17	0.4	1.961	AN11045,AN4174
FALSE	TRUE	FALSE	TRUE	GO:2000766	negative regulation of cytoplasmic translation	0.01095	5	2	0.17	0.4	1.961	AN2246,AN6305
FALSE	TRUE	FALSE	TRUE	GO:0043457	regulation of cellular respiration	0.01095	5	2	0.17	0.4	1.961	AN0241,AN6305
FALSE	TRUE	FALSE	TRUE	GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process	0.01095	5	2	0.17	0.4	1.961	AN0271,AN8861
FALSE	TRUE	FALSE	TRUE	GO:0009083	branched-chain amino acid catabolic process	0.01095	5	2	0.17	0.4	1.961	AN4690,AN5916
FALSE	TRUE	FALSE	TRUE	GO:0042307	positive regulation of protein import into nucleus	0.01095	5	2	0.17	0.4	1.961	AN4182,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0090307	mitotic spindle assembly	0.01099	14	3	0.48	0.214	1.959	AN2047,AN2128,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	0.01316	92	8	3.16	0.087	1.881	AN0118,AN0241,AN10434,AN3441,AN6064,AN6305,AN6505,AN9492
FALSE	TRUE	FALSE	TRUE	GO:0006412	translation	0.01322	457	14	15.67	0.031	1.879	AN0465,AN0843,AN1095,AN11411,AN11419,AN2246,AN4872,AN5719,AN5960,AN6305,AN6368,AN7003,AN7479,AN8870
FALSE	TRUE	FALSE	TRUE	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	0.0134	15	3	0.51	0.2	1.873	AN11694,AN5915,AN6033
FALSE	TRUE	FALSE	TRUE	GO:0006468	protein phosphorylation	0.01353	182	15	6.24	0.082	1.869	AN0144,AN0576,AN1272,AN2246,AN4182,AN4465,AN4546,AN4936,AN5569,AN5719,AN6305,AN6570,AN7185,AN8182,AN8827
FALSE	TRUE	FALSE	TRUE	GO:0051300	spindle pole body organization	0.01606	6	2	0.21	0.333	1.794	AN2047,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0006085	acetyl-CoA biosynthetic process	0.01606	6	2	0.21	0.333	1.794	AN4830,AN5162
FALSE	TRUE	FALSE	TRUE	GO:0050684	regulation of mRNA processing	0.01606	6	2	0.21	0.333	1.794	AN4936,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0019878	lysine biosynthetic process via aminoadipic acid	0.01606	6	2	0.21	0.333	1.794	AN2873,AN6521
FALSE	TRUE	FALSE	TRUE	GO:0009826	unidimensional cell growth	0.01608	16	3	0.55	0.188	1.794	AN2464,AN5020,AN8842
FALSE	TRUE	FALSE	TRUE	GO:0044182	filamentous growth of a population of unicellular organisms	0.02157	210	17	7.2	0.081	1.666	AN0118,AN0241,AN10434,AN10956,AN11071,AN2047,AN2464,AN2854,AN3441,AN5162,AN5686,AN6064,AN6305,AN6505,AN6506,AN6570,AN9492
FALSE	TRUE	FALSE	TRUE	GO:0000909	sporocarp development involved in sexual reproduction	0.02162	110	10	3.77	0.091	1.665	AN0144,AN1376,AN1661,AN2129,AN3435,AN6190,AN6221,AN6305,AN6505,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0031330	negative regulation of cellular catabolic process	0.02189	13	3	0.45	0.231	1.66	AN3879,AN4182,AN4546
FALSE	TRUE	FALSE	TRUE	GO:0007155	cell adhesion	0.02196	32	3	1.1	0.094	1.658	AN6305,AN6505,AN6570
FALSE	TRUE	FALSE	TRUE	GO:0051650	establishment of vesicle localization	0.02198	7	2	0.24	0.286	1.658	AN0118,AN6033
FALSE	TRUE	FALSE	TRUE	GO:1901678	iron coordination entity transport	0.02198	7	2	0.24	0.286	1.658	AN4064,AN6400
FALSE	TRUE	FALSE	TRUE	GO:0046827	positive regulation of protein export from nucleus	0.02198	7	2	0.24	0.286	1.658	AN6305,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0030846	termination of RNA polymerase II transcription, poly(A)-coupled	0.02198	7	2	0.24	0.286	1.658	AN5124,AN8276
FALSE	TRUE	FALSE	TRUE	GO:0043433	negative regulation of DNA binding transcription factor activity	0.02198	7	2	0.24	0.286	1.658	AN1272,AN3255
FALSE	TRUE	FALSE	TRUE	GO:0043153	entrainment of circadian clock by photoperiod	0.02198	7	2	0.24	0.286	1.658	AN0241,AN2129
FALSE	TRUE	FALSE	TRUE	GO:0044409	entry into host	0.02198	7	2	0.24	0.286	1.658	AN6305,AN6505
FALSE	TRUE	FALSE	TRUE	GO:1903313	positive regulation of mRNA metabolic process	0.02198	7	2	0.24	0.286	1.658	AN4936,AN7185
FALSE	TRUE	FALSE	TRUE	GO:1903464	negative regulation of mitotic cell cycle DNA replication	0.02198	7	2	0.24	0.286	1.658	AN4182,AN9113
FALSE	TRUE	FALSE	TRUE	GO:1903466	regulation of mitotic DNA replication initiation	0.02198	7	2	0.24	0.286	1.658	AN2854,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0016236	macroautophagy	0.02253	58	7	1.99	0.121	1.647	AN0156,AN0576,AN10956,AN1126,AN2246,AN5442,AN5491
FALSE	TRUE	FALSE	TRUE	GO:0070787	conidiophore development	0.02356	83	7	2.85	0.084	1.628	AN0118,AN0144,AN1661,AN2129,AN6305,AN7185,AN8182
FALSE	TRUE	FALSE	TRUE	GO:0006098	pentose-phosphate shunt	0.02579	19	3	0.65	0.158	1.589	AN0240,AN2981,AN3954
FALSE	TRUE	FALSE	TRUE	GO:1903475	mitotic actomyosin contractile ring assembly	0.02579	19	3	0.65	0.158	1.589	AN4182,AN5686,AN6542
FALSE	TRUE	FALSE	TRUE	GO:0043086	negative regulation of catalytic activity	0.02847	31	4	1.06	0.129	1.546	AN2246,AN4465,AN5125,AN5686
FALSE	TRUE	FALSE	TRUE	GO:0045324	late endosome to vacuole transport	0.02862	32	3	1.1	0.094	1.543	AN0576,AN10804,AN9396
FALSE	TRUE	FALSE	TRUE	GO:0030242	autophagy of peroxisome	0.02865	8	2	0.27	0.25	1.543	AN0576,AN5491
FALSE	TRUE	FALSE	TRUE	GO:1902115	regulation of organelle assembly	0.02865	8	2	0.27	0.25	1.543	AN4182,AN6305
FALSE	TRUE	FALSE	TRUE	GO:0044114	development of symbiont in host	0.02865	8	2	0.27	0.25	1.543	AN6305,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0010571	positive regulation of nuclear cell cycle DNA replication	0.02865	8	2	0.27	0.25	1.543	AN2854,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0006893	Golgi to plasma membrane transport	0.02959	20	3	0.69	0.15	1.529	AN0462,AN1126,AN6210
FALSE	TRUE	FALSE	TRUE	GO:0000920	cell separation after cytokinesis	0.02959	20	3	0.69	0.15	1.529	AN0118,AN10061,AN8182
FALSE	TRUE	FALSE	TRUE	GO:0010628	positive regulation of gene expression	0.0321	142	14	4.87	0.099	1.493	AN0156,AN0241,AN0576,AN1039,AN10956,AN11131,AN1937,AN2854,AN3116,AN4182,AN4546,AN4936,AN6505,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0009893	positive regulation of metabolic process	0.03307	261	23	8.95	0.088	1.481	AN0156,AN0241,AN0388,AN0576,AN1039,AN10956,AN11131,AN1937,AN2213,AN2246,AN2854,AN3116,AN3435,AN4182,AN4465,AN4546,AN4936,AN5719,AN5722,AN6505,AN7185,AN7423,AN8182
FALSE	TRUE	FALSE	TRUE	GO:0031324	negative regulation of cellular metabolic process	0.03316	230	21	7.89	0.091	1.479	AN0156,AN0241,AN10063,AN1039,AN10621,AN10956,AN1132,AN1179,AN1191,AN1272,AN2246,AN2854,AN3879,AN4182,AN4465,AN4546,AN5643,AN6221,AN6305,AN6505,AN9113
FALSE	TRUE	FALSE	TRUE	GO:0072329	monocarboxylic acid catabolic process	0.03324	54	6	1.85	0.111	1.478	AN11045,AN1132,AN3954,AN5162,AN5916,AN6639
FALSE	TRUE	FALSE	TRUE	GO:0000183	chromatin silencing at rDNA	0.03367	21	3	0.72	0.143	1.473	AN10956,AN3879,AN5643
FALSE	TRUE	FALSE	TRUE	GO:0006163	purine nucleotide metabolic process	0.03374	117	11	4.01	0.094	1.472	AN0271,AN0357,AN1246,AN1523,AN3954,AN4464,AN4525,AN4690,AN4830,AN5162,AN6542
FALSE	TRUE	FALSE	TRUE	GO:0042592	homeostatic process	0.03383	205	13	7.03	0.063	1.471	AN0241,AN10804,AN1191,AN3117,AN3435,AN4182,AN4552,AN6305,AN6505,AN7185,AN7423,AN8842,AN9113
FALSE	TRUE	FALSE	TRUE	GO:1903664	regulation of asexual reproduction	0.03392	55	7	1.89	0.127	1.47	AN10184,AN1661,AN1937,AN3435,AN4182,AN6305,AN7542
FALSE	TRUE	FALSE	TRUE	GO:0006553	lysine metabolic process	0.03405	9	4	0.31	0.444	1.468	AN2873,AN5206,AN6521,AN6639
FALSE	TRUE	FALSE	TRUE	GO:0090087	regulation of peptide transport	0.03409	23	4	0.79	0.174	1.467	AN4182,AN6305,AN6505,AN7185
FALSE	TRUE	FALSE	TRUE	GO:0016571	histone methylation	0.0342	27	3	0.93	0.111	1.466	AN0745,AN0808,AN1191
FALSE	TRUE	FALSE	TRUE	GO:0043471	regulation of cellular carbohydrate catabolic process	0.03422	6	2	0.21	0.333	1.466	AN0388,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0045833	negative regulation of lipid metabolic process	0.03423	7	2	0.24	0.286	1.466	AN4465,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0015939	pantothenate metabolic process	0.03423	8	2	0.27	0.25	1.466	AN10586,AN4830
FALSE	TRUE	FALSE	TRUE	GO:0034661	ncRNA catabolic process	0.03425	15	2	0.51	0.133	1.465	AN2213,AN8276
FALSE	TRUE	FALSE	TRUE	GO:0035821	modification of morphology or physiology of other organism	0.03427	21	2	0.72	0.095	1.465	AN10184,AN1246
FALSE	TRUE	FALSE	TRUE	GO:0051726	regulation of cell cycle	0.0351	211	14	7.24	0.066	1.455	AN0808,AN10063,AN10956,AN1661,AN2047,AN2128,AN2246,AN2854,AN3435,AN4182,AN4936,AN6305,AN6505,AN9113
FALSE	TRUE	FALSE	TRUE	GO:0045005	DNA-dependent DNA replication maintenance of fidelity	0.03576	27	4	0.93	0.148	1.447	AN10063,AN10621,AN10956,AN5114
FALSE	TRUE	FALSE	TRUE	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.03586	14	3	0.48	0.214	1.445	AN1661,AN3435,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0000086	G2/M transition of mitotic cell cycle	0.03598	63	4	2.16	0.063	1.444	AN0808,AN2128,AN2854,AN4182
FALSE	TRUE	FALSE	TRUE	GO:0051211	anisotropic cell growth	0.03601	9	2	0.31	0.222	1.444	AN2871,AN5020
FALSE	TRUE	FALSE	TRUE	GO:0031126	snoRNA 3'-end processing	0.03601	9	2	0.31	0.222	1.444	AN0745,AN8276
FALSE	TRUE	FALSE	TRUE	GO:0005992	trehalose biosynthetic process	0.03601	9	2	0.31	0.222	1.444	AN1937,AN3441
FALSE	TRUE	FALSE	TRUE	GO:0045944	positive regulation of transcription by RNA polymerase II	0.04027	108	9	3.7	0.083	1.395	AN0156,AN0241,AN0576,AN1039,AN10956,AN1937,AN2854,AN4182,AN6505
FALSE	TRUE	FALSE	TRUE	GO:0031327	negative regulation of cellular biosynthetic process	0.04195	199	18	6.83	0.09	1.377	AN0156,AN1039,AN10621,AN10956,AN1132,AN1179,AN1191,AN1272,AN2246,AN2854,AN3879,AN4182,AN4465,AN5643,AN6221,AN6305,AN6505,AN9113
FALSE	TRUE	FALSE	TRUE	GO:0001403	invasive growth in response to glucose limitation	0.04265	23	3	0.79	0.13	1.37	AN6305,AN6505,AN6570
FALSE	TRUE	FALSE	TRUE	GO:0040009	regulation of growth rate	0.0436	39	4	1.34	0.103	1.361	AN0118,AN2129,AN5021,AN8842
FALSE	TRUE	FALSE	TRUE	GO:0006547	histidine metabolic process	0.04385	18	3	0.62	0.167	1.358	AN0092,AN2723,AN3313
FALSE	TRUE	FALSE	TRUE	GO:0006898	receptor-mediated endocytosis	0.04401	10	2	0.34	0.2	1.356	AN0982,AN2047
FALSE	TRUE	FALSE	TRUE	GO:0007009	plasma membrane organization	0.04401	10	2	0.34	0.2	1.356	AN2047,AN2464
FALSE	TRUE	FALSE	TRUE	GO:0006623	protein targeting to vacuole	0.04754	24	3	0.82	0.125	1.323	AN0576,AN1179,AN5519
FALSE	TRUE	FALSE	TRUE	GO:0035690	cellular response to drug	0.04844	204	12	7	0.059	1.315	AN0316,AN11071,AN1126,AN11694,AN1272,AN2047,AN3745,AN5722,AN6064,AN6505,AN6506,AN6570
FALSE	TRUE	TRUE	FALSE	GO:0006278	RNA-dependent DNA biosynthetic process	0.00042	31	2	0.03	0.065	3.377	AN0376,AN10846
FALSE	TRUE	TRUE	FALSE	GO:0006289	nucleotide-excision repair	0.00074	41	2	0.04	0.049	3.131	AN4271,AN4272
FALSE	TRUE	TRUE	FALSE	GO:0015074	DNA integration	0.02494	25	1	0.03	0.04	1.603	AN10846
FALSE	TRUE	TRUE	TRUE	GO:0030473	nuclear migration along microtubule	6e-04	19	3	0.17	0.158	3.222	AN1475,AN4706,AN6340
FALSE	TRUE	TRUE	TRUE	GO:0072697	protein localization to cell cortex	0.0034	10	2	0.09	0.2	2.469	AN0134,AN1475
FALSE	TRUE	TRUE	TRUE	GO:0075308	negative regulation of conidium formation	0.0041	11	2	0.1	0.182	2.387	AN3913,AN4263
FALSE	TRUE	TRUE	TRUE	GO:0070786	positive regulation of growth of unicellular organism as a thread of attached cells	0.0041	11	2	0.1	0.182	2.387	AN11793,AN3913
FALSE	TRUE	TRUE	TRUE	GO:0010962	regulation of glucan biosynthetic process	0.0041	11	2	0.1	0.182	2.387	AN3913,AN4953
FALSE	TRUE	TRUE	TRUE	GO:0031122	cytoplasmic microtubule organization	0.0049	12	2	0.11	0.167	2.31	AN1475,AN6340
FALSE	TRUE	TRUE	TRUE	GO:0045332	phospholipid translocation	0.0066	14	2	0.12	0.143	2.18	AN10622,AN5100
FALSE	TRUE	TRUE	TRUE	GO:0071963	establishment or maintenance of cell polarity regulating cell shape	0.0085	32	3	0.28	0.094	2.071	AN0134,AN1475,AN4953
FALSE	TRUE	TRUE	TRUE	GO:0015851	nucleobase transport	0.0087	16	2	0.14	0.125	2.06	AN3352,AN6783
FALSE	TRUE	TRUE	TRUE	GO:0035690	cellular response to drug	0.0096	204	6	1.81	0.029	2.018	AN11773,AN1697,AN3696,AN3817,AN3913,AN4674
FALSE	TRUE	TRUE	TRUE	GO:0048315	conidium formation	0.0099	132	6	1.17	0.045	2.004	AN10193,AN3913,AN4263,AN4953,AN6341,AN8071
FALSE	TRUE	TRUE	TRUE	GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.0109	18	2	0.16	0.111	1.963	AN11793,AN3913
FALSE	TRUE	TRUE	TRUE	GO:0000909	sporocarp development involved in sexual reproduction	0.0166	110	4	0.98	0.036	1.78	AN10193,AN3913,AN4263,AN8071
FALSE	TRUE	TRUE	TRUE	GO:0030952	establishment or maintenance of cytoskeleton polarity	0.0175	13	2	0.12	0.154	1.757	AN4953,AN6340
FALSE	TRUE	TRUE	TRUE	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0188	52	3	0.46	0.058	1.726	AN1486,AN6585,AN7526
FALSE	TRUE	TRUE	TRUE	GO:0045787	positive regulation of cell cycle	0.035	81	2	0.72	0.025	1.456	AN4263,AN9424
FALSE	TRUE	TRUE	TRUE	GO:0006508	proteolysis	0.0397	277	6	2.46	0.022	1.401	AN10193,AN2148,AN2180,AN2503,AN4018,AN5619
FALSE	TRUE	TRUE	TRUE	GO:0071555	cell wall organization	0.0433	118	3	1.05	0.025	1.364	AN4953,AN5619,AN6341
FALSE	TRUE	TRUE	TRUE	GO:0052572	response to host immune response	0.0433	12	2	0.11	0.167	1.364	AN11793,AN3913
FALSE	TRUE	TRUE	TRUE	GO:0001678	cellular glucose homeostasis	0.0433	20	2	0.18	0.1	1.364	AN2180,AN3913
FALSE	TRUE	TRUE	TRUE	GO:0018195	peptidyl-arginine modification	0.0437	5	1	0.04	0.2	1.36	AN0134
FALSE	TRUE	TRUE	TRUE	GO:0015936	coenzyme A metabolic process	0.0437	5	1	0.04	0.2	1.36	AN3817
FALSE	TRUE	TRUE	TRUE	GO:0071038	nuclear polyadenylation-dependent tRNA catabolic process	0.0437	5	1	0.04	0.2	1.36	AN11773
FALSE	TRUE	TRUE	TRUE	GO:0034476	U5 snRNA 3'-end processing	0.0437	5	1	0.04	0.2	1.36	AN11773
FALSE	TRUE	TRUE	TRUE	GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway	0.0437	5	1	0.04	0.2	1.36	AN3817
FALSE	TRUE	TRUE	TRUE	GO:0008298	intracellular mRNA localization	0.0437	5	1	0.04	0.2	1.36	AN11773
TRUE	FALSE	FALSE	FALSE	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	0.048	5	1	0.05	0.2	1.319	AN4209
TRUE	FALSE	FALSE	FALSE	GO:0019583	galactonate metabolic process	0.048	5	1	0.05	0.2	1.319	AN7358
TRUE	FALSE	FALSE	FALSE	GO:0031110	regulation of microtubule polymerization or depolymerization	0.048	5	1	0.05	0.2	1.319	AN2862
TRUE	FALSE	FALSE	FALSE	GO:0030989	dynein-driven meiotic oscillatory nuclear movement	0.048	5	1	0.05	0.2	1.319	AN2862
TRUE	FALSE	FALSE	TRUE	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	0.0038	14	3	0.33	0.214	2.42	AN3710,AN4265,AN5057
TRUE	FALSE	FALSE	TRUE	GO:0010619	adenylate cyclase-activating glucose-activated G-protein coupled receptor signaling pathway	0.0105	7	2	0.16	0.286	1.979	AN1016,AN4238
TRUE	FALSE	FALSE	TRUE	GO:0015693	magnesium ion transport	0.0105	7	2	0.16	0.286	1.979	AN0924,AN2218
TRUE	FALSE	FALSE	TRUE	GO:0046656	folic acid biosynthetic process	0.0105	7	2	0.16	0.286	1.979	AN10991,AN4384
TRUE	FALSE	FALSE	TRUE	GO:0001302	replicative cell aging	0.0122	21	3	0.49	0.143	1.914	AN1016,AN2925,AN4238
TRUE	FALSE	FALSE	TRUE	GO:0005993	trehalose catabolic process	0.0138	8	2	0.19	0.25	1.86	AN1016,AN4238
TRUE	FALSE	FALSE	TRUE	GO:0001403	invasive growth in response to glucose limitation	0.0157	23	3	0.54	0.13	1.804	AN0081,AN1016,AN5057
TRUE	FALSE	FALSE	TRUE	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.0175	9	2	0.21	0.222	1.757	AN1639,AN4238
TRUE	FALSE	FALSE	TRUE	GO:0050801	ion homeostasis	0.0231	100	5	2.33	0.05	1.636	AN0703,AN1016,AN1265,AN4167,AN7464
TRUE	FALSE	FALSE	TRUE	GO:0032879	regulation of localization	0.0232	88	4	2.05	0.045	1.635	AN4238,AN4402,AN5057,AN7464
TRUE	FALSE	FALSE	TRUE	GO:0050657	nucleic acid transport	0.0233	60	2	1.4	0.033	1.633	AN4402,AN5865
TRUE	FALSE	FALSE	TRUE	GO:0075308	negative regulation of conidium formation	0.0259	11	2	0.26	0.182	1.587	AN0081,AN1016
TRUE	FALSE	FALSE	TRUE	GO:0051345	positive regulation of hydrolase activity	0.0356	13	2	0.3	0.154	1.449	AN0420,AN2877
TRUE	FALSE	FALSE	TRUE	GO:0023051	regulation of signaling	0.0461	102	3	2.38	0.029	1.336	AN2925,AN4238,AN5057
TRUE	FALSE	FALSE	TRUE	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0465	15	2	0.35	0.133	1.333	AN0421,AN10865
TRUE	FALSE	FALSE	TRUE	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0465	15	2	0.35	0.133	1.333	AN0421,AN10865
TRUE	FALSE	TRUE	FALSE	GO:1902086	fumagillin biosynthetic process	9.7e-05	7	2	0.02	0.286	4.013	AN1036,AN6791
TRUE	FALSE	TRUE	FALSE	GO:0015995	chlorophyll biosynthetic process	0.013	6	1	0.01	0.167	1.886	AN5905
TRUE	FALSE	TRUE	FALSE	GO:0015979	photosynthesis	0.013	6	1	0.01	0.167	1.886	AN5905
TRUE	FALSE	TRUE	FALSE	GO:0045122	aflatoxin biosynthetic process	0.013	6	1	0.01	0.167	1.886	AN8645
TRUE	FALSE	TRUE	FALSE	GO:1900554	asperfuranone biosynthetic process	0.015	7	1	0.02	0.143	1.824	AN1036
TRUE	FALSE	TRUE	FALSE	GO:0016117	carotenoid biosynthetic process	0.02	9	1	0.02	0.111	1.699	AN5905
TRUE	FALSE	TRUE	FALSE	GO:0006284	base-excision repair	0.026	12	1	0.03	0.083	1.585	AN5751
TRUE	FALSE	TRUE	FALSE	GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.03	14	1	0.03	0.071	1.523	AN3387
TRUE	FALSE	TRUE	FALSE	GO:0009059	macromolecule biosynthetic process	0.031	1475	2	3.25	0.001	1.509	AN3380,AN8645
TRUE	FALSE	TRUE	TRUE	GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.0031	18	4	0.63	0.222	2.509	AN0182,AN1025,AN2430,AN3090
TRUE	FALSE	TRUE	TRUE	GO:0008202	steroid metabolic process	0.0078	82	6	2.88	0.073	2.108	AN0338,AN10887,AN1794,AN4923,AN5823,AN6787
TRUE	FALSE	TRUE	TRUE	GO:0006508	proteolysis	0.0096	277	12	9.73	0.043	2.018	AN0224,AN10351,AN10673,AN11684,AN11932,AN1573,AN1844,AN2194,AN4925,AN6741,AN6888,AN7962
TRUE	FALSE	TRUE	TRUE	GO:0006629	lipid metabolic process	0.0142	407	15	14.3	0.037	1.848	AN0338,AN0484,AN0649,AN10673,AN10887,AN1675,AN1794,AN2528,AN3132,AN3318,AN4923,AN5823,AN6787,AN8046,AN8743
TRUE	FALSE	TRUE	TRUE	GO:0010106	cellular response to iron ion starvation	0.0143	15	3	0.53	0.2	1.845	AN10080,AN5823,AN8540
TRUE	FALSE	TRUE	TRUE	GO:1900793	shamixanthone biosynthetic process	0.0168	6	2	0.21	0.333	1.775	AN12402,AN7998
TRUE	FALSE	TRUE	TRUE	GO:1900781	fumiquinazoline C biosynthetic process	0.0171	16	3	0.56	0.188	1.767	AN0147,AN1035,AN1242
TRUE	FALSE	TRUE	TRUE	GO:0036164	cell-abiotic substrate adhesion	0.023	7	2	0.25	0.286	1.638	AN0182,AN9116
TRUE	FALSE	TRUE	TRUE	GO:0035023	regulation of Rho protein signal transduction	0.0299	8	2	0.28	0.25	1.524	AN0113,AN5787
TRUE	FALSE	TRUE	TRUE	GO:1900239	regulation of phenotypic switching	0.0299	8	2	0.28	0.25	1.524	AN0182,AN5611
TRUE	FALSE	TRUE	TRUE	GO:0001402	signal transduction involved in filamentous growth	0.0299	8	2	0.28	0.25	1.524	AN1573,AN7698
TRUE	FALSE	TRUE	TRUE	GO:0007323	peptide pheromone maturation	0.0351	7	2	0.25	0.286	1.455	AN1573,AN3867
TRUE	FALSE	TRUE	TRUE	GO:0051648	vesicle localization	0.0351	8	2	0.28	0.25	1.455	AN7547,AN7698
