GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
GO:0010515	negative regulation of induction of conjugation with cellular fusion	0.03682	11	7	3.13	0.636	1.434	AN1017,AN2555,AN3101,AN3102,AN4501,AN4935,AN5341
GO:0000209	protein polyubiquitination	0.03685	13	7	3.7	0.538	1.434	AN0226,AN1339,AN2761,AN3644,AN5129,AN5681,AN6359
GO:0015074	DNA integration	0.03787	25	12	7.11	0.48	1.422	AN0263,AN10066,AN10127,AN10256,AN10329,AN2670,AN3048,AN4289,AN4335,AN4976,AN5956,AN8186
GO:0044011	single-species biofilm formation on inanimate substrate	0.03791	30	13	8.54	0.433	1.421	AN0098,AN0182,AN0806,AN10367,AN10902,AN2017,AN2944,AN4052,AN4390,AN4486,AN5105,AN6129,AN6279
GO:0009847	spore germination	0.04189	56	24	15.93	0.429	1.378	AN0118,AN0129,AN0182,AN0363,AN0914,AN10077,AN1017,AN1052,AN2421,AN2742,AN2911,AN3307,AN3719,AN3813,AN4501,AN4544,AN5726,AN5836,AN6010,AN6046,AN6125,AN6341,AN7030,AN7619
GO:0016584	nucleosome positioning	0.0434	18	9	5.12	0.5	1.363	AN0098,AN10191,AN10763,AN2911,AN3423,AN4034,AN5643,AN6195,AN6505
GO:0007165	signal transduction	0.04532	236	101	67.15	0.428	1.344	AN0182,AN0235,AN0411,AN0651,AN0655,AN0664,AN0914,AN0931,AN1017,AN10171,AN10227,AN1025,AN10442,AN10614,AN1126,AN11994,AN12017,AN1283,AN1334,AN1358,AN1377,AN1573,AN1661,AN1800,AN1989,AN2005,AN2067,AN2130,AN2430,AN2555,AN2581,AN2687,AN2740,AN2911,AN3101,AN3102,AN3214,AN3422,AN3450,AN3607,AN3688,AN3719,AN3746,AN3941,AN3946,AN4113,AN4134,AN4171,AN4189,AN4322,AN4369,AN4419,AN4479,AN4483,AN4501,AN4668,AN4702,AN4733,AN4745,AN4818,AN4887,AN4915,AN4935,AN4987,AN5105,AN5195,AN5211,AN5296,AN5341,AN5482,AN5660,AN5677,AN5740,AN5755,AN5757,AN5768,AN5822,AN5832,AN5893,AN5973,AN6120,AN6210,AN6249,AN6566,AN6570,AN6927,AN6978,AN6982,AN7030,AN7506,AN7513,AN7572,AN7576,AN7661,AN7698,AN8234,AN8269,AN8831,AN9008,AN9397,AN9504
GO:0035556	intracellular signal transduction	0.0456	184	73	52.36	0.397	1.341	AN0182,AN0411,AN0651,AN0655,AN0664,AN0914,AN0931,AN1017,AN10171,AN1025,AN10442,AN10614,AN1126,AN12017,AN1283,AN1334,AN1358,AN1661,AN1800,AN1989,AN2005,AN2067,AN2130,AN2581,AN2687,AN2911,AN3101,AN3102,AN3214,AN3422,AN3450,AN3688,AN3719,AN3941,AN3946,AN4113,AN4134,AN4171,AN4189,AN4322,AN4369,AN4419,AN4479,AN4483,AN4501,AN4702,AN4818,AN4887,AN4915,AN4987,AN5195,AN5296,AN5341,AN5482,AN5660,AN5677,AN5740,AN5768,AN5822,AN5832,AN5893,AN5973,AN6120,AN6210,AN6249,AN6927,AN6978,AN6982,AN7506,AN7572,AN8831,AN9008,AN9504
GO:0005992	trehalose biosynthetic process	0.04667	9	6	2.56	0.667	1.331	AN0363,AN10533,AN3441,AN5523,AN8639,AN9148
GO:0006189	'de novo' IMP biosynthetic process	0.04671	8	5	2.28	0.625	1.331	AN0495,AN3626,AN4464,AN6541,AN8121
GO:0060237	regulation of fungal-type cell wall organization	0.04671	8	5	2.28	0.625	1.331	AN4189,AN5740,AN6733,AN7149,AN7683
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.04671	8	5	2.28	0.625	1.331	AN0226,AN2302,AN2761,AN6359,AN8844
GO:0070873	regulation of glycogen metabolic process	0.04672	12	6	3.41	0.5	1.33	AN11098,AN2421,AN4987,AN7610,AN7661,AN8667
GO:0070588	calcium ion transmembrane transport	0.04674	13	6	3.7	0.462	1.33	AN1189,AN1628,AN1950,AN4814,AN4920,AN7571
GO:0006915	apoptotic process	0.04749	20	12	5.69	0.6	1.323	AN0182,AN0394,AN10614,AN12101,AN4064,AN4402,AN4501,AN5712,AN7513,AN8041,AN8269,AN8485
GO:0042144	vacuole fusion, non-autophagic	0.04759	21	11	5.98	0.524	1.322	AN0170,AN0802,AN0914,AN10193,AN10637,AN12017,AN1334,AN5740,AN5746,AN7729,AN8374
