hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
TRUE	TRUE	4	00130	Ubiquinone and other terpenoid-quinone biosynthesis	7	10	0.7	0.00984804764856497	0.0625351025683875	AN0297.2/AN1140.2/AN1899.2/AN1999.2/AN3586.2/AN4569.2/AN6338.2
TRUE	TRUE	4	00565	Ether lipid metabolism	9	14	0.64	0.0134971734559717	0.0775512295011881	AN1713.2/AN2336.2/AN4778.2/AN5159.2/AN6197.2/AN6211.2/AN6712.2/AN7334.2/AN8546.2
TRUE	TRUE	4	03030	DNA replication	17	30	0.57	0.013842445416259	0.0775512295011881	AN0228.2/AN0260.2/AN0582.2/AN2446.2/AN2491.2/AN2764.2/AN3033.2/AN3067.2/AN5114.2/AN5992.2/AN6070.2/AN6300.2/AN6517.2/AN7325.2/AN7423.2/AN7439.2/AN7994.2
TRUE	TRUE	4	00030	Pentose phosphate pathway	15	26	0.58	0.0147558950096308	0.0775512295011881	AN0240.2/AN0285.2/AN0688.2/AN2440.2/AN2867.2/AN2875.2/AN2981.2/AN3223.2/AN3641.2/AN3954.2/AN4772.2/AN5604.2/AN5907.2/AN6037.2/AN7588.2
TRUE	TRUE	4	03020	RNA polymerase	12	20	0.6	0.015265990059289	0.0775512295011881	AN0321.2/AN0809.2/AN1521.2/AN2135.2/AN2235.2/AN2415.2/AN3933.2/AN4219.2/AN4269.2/AN6558.2/AN9102.2/AN9125.2
TRUE	TRUE	4	04136	Autophagy - other	12	20	0.6	0.015265990059289	0.0775512295011881	AN0127.2/AN1335.2/AN1632.2/AN1760.2/AN2076.2/AN2280.2/AN2887.2/AN3470.2/AN3734.2/AN5131.2/AN5491.2/AN7428.2
TRUE	TRUE	4	00250	Alanine, aspartate and glutamate metabolism	18	33	0.55	0.0201323823950584	0.0983389447758622	AN0565.2/AN0893.2/AN1342.2/AN1923.2/AN1993.2/AN2243.2/AN2248.2/AN2914.2/AN3829.2/AN4159.2/AN4376.2/AN4401.2/AN5134.2/AN5447.2/AN5999.2/AN6048.2/AN6209.2/AN7451.2
TRUE	TRUE	4	00590	Arachidonic acid metabolism	3	4	0.75	0.022709003555624	0.10300155184158	AN1713.2/AN2846.2/AN6211.2
TRUE	TRUE	4	00591	Linoleic acid metabolism	3	4	0.75	0.022709003555624	0.10300155184158	AN1713.2/AN5028.2/AN6211.2
TRUE	TRUE	4	00620	Pyruvate metabolism	21	40	0.52	0.0241358149484999	0.10569822408481	AN0554.2/AN0628.2/AN0840.2/AN1547.2/AN1918.2/AN1990.2/AN3901.2/AN4054.2/AN4424.2/AN4462.2/AN4792.2/AN5162.2/AN5210.2/AN5626.2/AN6126.2/AN6168.2/AN6499.2/AN6653.2/AN6840.2/AN6933.2/AN8707.2
TRUE	TRUE	4	00290	Valine, leucine and isoleucine biosynthesis	12	21	0.57	0.025995932972071	0.110049449581767	AN0840.2/AN0912.2/AN2526.2/AN2793.2/AN3830.2/AN4323.2/AN4430.2/AN4956.2/AN5886.2/AN5957.2/AN6346.2/AN7878.2
TRUE	TRUE	4	00230	Purine metabolism	38	80	0.48	0.0310008790063009	0.127003601090329	AN0067.2/AN0259.2/AN0260.2/AN0321.2/AN0809.2/AN0893.2/AN1521.2/AN2135.2/AN2235.2/AN2415.2/AN2446.2/AN2740.2/AN2867.2/AN3033.2/AN3067.2/AN3222.2/AN3626.2/AN3933.2/AN4219.2/AN4269.2/AN4464.2/AN4603.2/AN4769.2/AN5210.2/AN5566.2/AN5613.2/AN5939.2/AN6209.2/AN6541.2/AN6558.2/AN7325.2/AN7439.2/AN7711.2/AN8121.2/AN8861.2/AN9083.2/AN9102.2/AN9125.2
TRUE	TRUE	4	00520	Amino sugar and nucleotide sugar metabolism	27	55	0.49	0.0372853003097972	0.147976035604507	AN0299.2/AN0667.2/AN1277.2/AN1416.2/AN1418.2/AN1428.2/AN1555.2/AN2523.2/AN2867.2/AN4234.2/AN4255.2/AN4566.2/AN4727.2/AN4871.2/AN4957.2/AN5077.2/AN5586.2/AN6037.2/AN6182.2/AN6317.2/AN6318.2/AN6366.2/AN6386.2/AN7032.2/AN8689.2/AN9094.2/AN9148.2
TRUE	TRUE	4	04113	Meiosis - yeast	26	53	0.49	0.0403249403654917	0.15518992201265	AN0228.2/AN0410.2/AN0814.2/AN0872.2/AN2143.2/AN2491.2/AN3450.2/AN3793.2/AN3946.2/AN4085.2/AN4182.2/AN5057.2/AN5494.2/AN5676.2/AN5822.2/AN5836.2/AN5860.2/AN5992.2/AN6015.2/AN6070.2/AN6243.2/AN6364.2/AN7572.2/AN7723.2/AN7994.2/AN8783.2
TRUE	TRUE	4	00450	Selenocompound metabolism	5	8	0.62	0.0426125311039117	0.156911853994954	AN1446.2/AN3456.2/AN3581.2/AN4443.2/AN4769.2
TRUE	TRUE	4	00220	Arginine biosynthesis	11	20	0.55	0.043243424329318	0.156911853994954	AN1923.2/AN1993.2/AN2914.2/AN4159.2/AN4376.2/AN5749.2/AN5867.2/AN6048.2/AN7451.2/AN7722.2/AN8770.2
TRUE	TRUE	4	04139	Mitophagy - yeast	16	31	0.52	0.0475490570907105	0.167155596830201	AN0914.2/AN0931.2/AN1017.2/AN1272.2/AN1546.2/AN1632.2/AN1800.2/AN2055.2/AN2766.2/AN2887.2/AN4189.2/AN4668.2/AN5131.2/AN5588.2/AN5660.2/AN6225.2
TRUE	TRUE	4	00630	Glyoxylate and dicarboxylate metabolism	20	40	0.5	0.0486988746670665	0.167155596830201	AN0495.2/AN0775.2/AN1198.2/AN1342.2/AN3058.2/AN4159.2/AN4348.2/AN4397.2/AN5525.2/AN5626.2/AN5634.2/AN5918.2/AN6499.2/AN6525.2/AN6650.2/AN6653.2/AN8275.2/AN8553.2/AN8755.2/AN9339.2
