hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
TRUE	TRUE	4	GO:0000160	phosphorelay signal transduction system	0.00224	20	11	2.78	0.55	2.65	AN1800,AN2005,AN2581,AN3102,AN3214,AN3688,AN4479,AN4818,AN5296,AN7572,AN9008
TRUE	TRUE	4	GO:0035690	cellular response to drug	0.00263	204	47	28.33	0.23	2.58	AN0363,AN0609,AN0771,AN0927,AN10351,AN11705,AN1189,AN12054,AN1518,AN1923,AN2300,AN2997,AN3113,AN3368,AN3506,AN3688,AN3719,AN3729,AN3817,AN3913,AN4390,AN4674,AN4894,AN4923,AN5119,AN5296,AN5493,AN5523,AN5660,AN5740,AN5908,AN5918,AN6118,AN6129,AN6207,AN6330,AN6566,AN6849,AN7146,AN7513,AN7657,AN8269,AN8489,AN8502,AN9339,AN9340,AN9408
TRUE	TRUE	4	GO:0019933	cAMP-mediated signaling	0.00266	14	6	1.94	0.429	2.575	AN0182,AN2130,AN2911,AN3913,AN4419,AN4987
TRUE	TRUE	4	GO:1900377	negative regulation of secondary metabolite biosynthetic process	0.00267	8	4	1.11	0.5	2.573	AN1052,AN3675,AN7513,AN8797
TRUE	TRUE	4	GO:0097308	cellular response to farnesol	0.0029	46	14	6.39	0.304	2.538	AN0182,AN10518,AN1396,AN1800,AN2435,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5886,AN5999,AN7594
TRUE	TRUE	4	GO:0070873	regulation of glycogen metabolic process	0.0031	12	6	1.67	0.5	2.509	AN11098,AN2421,AN3913,AN4987,AN7610,AN8667
TRUE	TRUE	4	GO:0000909	sporocarp development involved in sexual reproduction	0.00321	110	30	15.27	0.273	2.493	AN0279,AN0410,AN0641,AN0988,AN10515,AN1402,AN1536,AN1848,AN2290,AN2505,AN2701,AN2742,AN3416,AN3607,AN3719,AN3913,AN4483,AN4702,AN4935,AN5156,AN5457,AN5651,AN5759,AN5836,AN6243,AN8741,AN8751,AN9008,AN9408,AN9450
TRUE	TRUE	4	GO:0019521	D-gluconate metabolic process	0.00356	16	7	2.22	0.438	2.449	AN0285,AN1414,AN2493,AN3641,AN5918,AN8553,AN9339
TRUE	TRUE	4	GO:0006836	neurotransmitter transport	0.00397	9	5	1.25	0.556	2.401	AN10905,AN2962,AN6118,AN8785,AN8966
TRUE	TRUE	4	GO:0000103	sulfate assimilation	0.00397	9	5	1.25	0.556	2.401	AN0170,AN1752,AN2730,AN4769,AN7600
TRUE	TRUE	4	GO:1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	0.00397	9	5	1.25	0.556	2.401	AN0608,AN0609,AN2855,AN3817,AN8251
TRUE	TRUE	4	GO:0000768	syncytium formation by plasma membrane fusion	0.0042	29	10	4.03	0.345	2.377	AN1848,AN2701,AN3719,AN4264,AN4702,AN5169,AN5457,AN5458,AN5776,AN8831
TRUE	TRUE	4	GO:0006357	regulation of transcription by RNA polymerase II	0.00429	226	47	31.38	0.208	2.368	AN0279,AN0410,AN0689,AN0988,AN10019,AN10191,AN10550,AN1060,AN11961,AN1416,AN1425,AN1518,AN2290,AN2421,AN2852,AN2855,AN2902,AN2911,AN2944,AN3468,AN3506,AN3675,AN3688,AN3913,AN4210,AN4741,AN4935,AN4976,AN4987,AN5651,AN5752,AN5836,AN5893,AN6129,AN6195,AN6733,AN7303,AN7468,AN7513,AN7572,AN7610,AN8039,AN8168,AN8251,AN8978,AN9095,AN9397
TRUE	TRUE	4	GO:0008643	carbohydrate transport	0.00436	26	10	3.61	0.385	2.361	AN10676,AN10689,AN3113,AN3515,AN5860,AN6578,AN6669,AN6923,AN8347,AN9168
TRUE	TRUE	4	GO:0043405	regulation of MAP kinase activity	0.0044	13	5	1.81	0.385	2.357	AN1358,AN4702,AN5660,AN5740,AN6982
TRUE	TRUE	4	GO:0034635	glutathione transport	0.0044	6	4	0.83	0.667	2.357	AN12476,AN3150,AN7188,AN7729
TRUE	TRUE	4	GO:0071470	cellular response to osmotic stress	0.00499	58	20	8.05	0.345	2.302	AN0134,AN0351,AN0554,AN0641,AN1358,AN1624,AN1800,AN2005,AN2911,AN2919,AN2997,AN3688,AN4479,AN4483,AN5129,AN6318,AN6982,AN7799,AN7895,AN8692
TRUE	TRUE	4	GO:0006334	nucleosome assembly	0.00702	17	7	2.36	0.412	2.154	AN0733,AN0734,AN3067,AN3468,AN3469,AN6554,AN8039
TRUE	TRUE	4	GO:0006879	cellular iron ion homeostasis	0.00761	38	13	5.28	0.342	2.119	AN0176,AN0607,AN0609,AN2508,AN3681,AN4655,AN4990,AN5132,AN5823,AN7468,AN7485,AN7567,AN8251
TRUE	TRUE	4	GO:0070301	cellular response to hydrogen peroxide	0.0077	18	7	2.5	0.389	2.114	AN0363,AN0609,AN3688,AN5523,AN5918,AN6849,AN9339
TRUE	TRUE	4	GO:0006468	protein phosphorylation	0.00782	182	46	25.27	0.253	2.107	AN0182,AN0988,AN10019,AN10515,AN1096,AN1097,AN11961,AN1358,AN1632,AN1800,AN2265,AN2911,AN2927,AN2943,AN3001,AN3102,AN3181,AN3719,AN4196,AN4322,AN4483,AN4563,AN4667,AN4702,AN4935,AN4984,AN4987,AN5156,AN5660,AN5728,AN5740,AN5757,AN5759,AN5822,AN6243,AN6508,AN6982,AN7030,AN7537,AN7572,AN8751,AN8830,AN9095,AN9461,AN9500,AN9504
TRUE	TRUE	4	GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.00785	14	6	1.94	0.429	2.105	AN0363,AN1052,AN5170,AN6243,AN6578,AN8262
TRUE	TRUE	4	GO:0006873	cellular ion homeostasis	0.00888	105	29	14.58	0.276	2.052	AN0176,AN0410,AN0607,AN0609,AN10019,AN1189,AN1628,AN1833,AN1950,AN2508,AN2919,AN3681,AN4655,AN4814,AN4920,AN4990,AN5132,AN5156,AN5823,AN6541,AN6566,AN7250,AN7468,AN7485,AN7567,AN8029,AN8251,AN8271,AN8830
TRUE	TRUE	4	GO:0046352	disaccharide catabolic process	0.00911	15	6	2.08	0.4	2.04	AN10420,AN11778,AN2017,AN3515,AN3913,AN9340
TRUE	TRUE	4	GO:0034251	regulation of cellular amide catabolic process	0.00913	7	4	0.97	0.571	2.04	AN2270,AN2944,AN8667,AN8777
TRUE	TRUE	4	GO:0006541	glutamine metabolic process	0.00913	7	4	0.97	0.571	2.04	AN0565,AN4159,AN4376,AN5134
TRUE	TRUE	4	GO:0075262	negative regulation of spore-bearing organ development	0.00913	7	4	0.97	0.571	2.04	AN0363,AN1052,AN4483,AN6243
TRUE	TRUE	4	GO:0006469	negative regulation of protein kinase activity	0.00913	7	4	0.97	0.571	2.04	AN1358,AN1800,AN4987,AN6982
TRUE	TRUE	4	GO:0034411	cell wall (1->3)-beta-D-glucan biosynthetic process	0.00913	7	4	0.97	0.571	2.04	AN3729,AN3730,AN5740,AN7657
TRUE	TRUE	4	GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape	0.00913	15	5	2.08	0.333	2.04	AN0134,AN0182,AN1334,AN5740,AN7030
TRUE	TRUE	4	GO:0071396	cellular response to lipid	0.00944	50	17	6.94	0.34	2.025	AN0182,AN0771,AN1037,AN10518,AN1396,AN1800,AN2435,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5886,AN5999,AN7594,AN8269
TRUE	TRUE	4	GO:0007584	response to nutrient	0.00945	31	14	4.3	0.452	2.025	AN0182,AN0394,AN0554,AN0988,AN2944,AN3587,AN3675,AN3688,AN3913,AN6195,AN6982,AN7468,AN7513,AN8168
TRUE	TRUE	4	GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore	0.00947	25	12	3.47	0.48	2.024	AN0182,AN0186,AN0641,AN1052,AN2059,AN2742,AN4987,AN5028,AN5836,AN6578,AN8741,AN8945
TRUE	TRUE	4	GO:0033246	positive regulation of penicillin metabolic process	0.00956	11	5	1.53	0.455	2.02	AN0807,AN1052,AN3719,AN8741,AN9008
TRUE	TRUE	4	GO:0006038	cell wall chitin biosynthetic process	0.00957	10	4	1.39	0.4	2.019	AN1555,AN4566,AN6318,AN7576
TRUE	TRUE	4	GO:0034605	cellular response to heat	0.00959	57	15	7.91	0.263	2.018	AN0182,AN0858,AN1652,AN2731,AN2911,AN4310,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6849,AN7572,AN8269
TRUE	TRUE	4	GO:0043945	positive regulation of asexual sporulation resulting in formation of a cellular spore	0.01158	15	6	2.08	0.4	1.936	AN0186,AN1052,AN4987,AN5836,AN6578,AN8945
TRUE	TRUE	4	GO:0006338	chromatin remodeling	0.01453	60	14	8.33	0.233	1.838	AN0733,AN1984,AN2885,AN2911,AN3067,AN3071,AN5099,AN6195,AN7475,AN8039,AN8211,AN8667,AN8978,AN9100
TRUE	TRUE	4	GO:0031331	positive regulation of cellular catabolic process	0.01615	35	11	4.86	0.314	1.792	AN0914,AN10550,AN2944,AN2965,AN3675,AN4419,AN5651,AN6540,AN7572,AN7610,AN9090
TRUE	TRUE	4	GO:0031505	fungal-type cell wall organization	0.01621	108	26	15	0.241	1.79	AN10311,AN11152,AN1189,AN1358,AN1555,AN3113,AN3152,AN3719,AN3729,AN3730,AN3914,AN4390,AN4419,AN4515,AN4566,AN5740,AN6317,AN6318,AN6487,AN6566,AN6589,AN6733,AN7511,AN7533,AN7657,AN9380
TRUE	TRUE	4	GO:0030036	actin cytoskeleton organization	0.01624	95	17	13.19	0.179	1.789	AN0135,AN0410,AN0655,AN0697,AN10515,AN2126,AN4706,AN4998,AN5677,AN5740,AN5768,AN6341,AN7567,AN7576,AN8751,AN8831,AN9504
TRUE	TRUE	4	GO:0006826	iron ion transport	0.01626	13	5	1.81	0.385	1.789	AN0176,AN3690,AN4990,AN8251,AN8683
TRUE	TRUE	4	GO:1900239	regulation of phenotypic switching	0.01627	8	4	1.11	0.5	1.789	AN0182,AN3913,AN5611,AN5740
TRUE	TRUE	4	GO:0042981	regulation of apoptotic process	0.01627	8	4	1.11	0.5	1.789	AN0182,AN0394,AN3913,AN8269
TRUE	TRUE	4	GO:0001676	long-chain fatty acid metabolic process	0.01627	8	4	1.11	0.5	1.789	AN6014,AN6126,AN9407,AN9408
TRUE	TRUE	4	GO:0033212	iron assimilation	0.01627	8	4	1.11	0.5	1.789	AN0607,AN5823,AN7468,AN8251
TRUE	TRUE	4	GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	0.01627	8	4	1.11	0.5	1.789	AN2911,AN4987,AN5755,AN5893
TRUE	TRUE	4	GO:0045733	acetate catabolic process	0.01627	8	4	1.11	0.5	1.789	AN0689,AN5626,AN5634,AN6279
TRUE	TRUE	4	GO:0070588	calcium ion transmembrane transport	0.01628	17	5	2.36	0.294	1.788	AN1189,AN1628,AN1950,AN4814,AN4920
TRUE	TRUE	4	GO:0006525	arginine metabolic process	0.01639	24	7	3.33	0.292	1.785	AN0565,AN2914,AN5999,AN8075,AN8667,AN8777,AN9090
TRUE	TRUE	4	GO:0048584	positive regulation of response to stimulus	0.01718	92	21	12.77	0.228	1.765	AN0170,AN0182,AN1416,AN1652,AN1800,AN2875,AN3102,AN3468,AN3675,AN3688,AN3719,AN3913,AN4080,AN4328,AN4479,AN5210,AN5525,AN5558,AN5660,AN5740,AN9090
TRUE	TRUE	4	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.01741	12	5	1.67	0.417	1.759	AN1096,AN4984,AN5156,AN5822,AN9500
TRUE	TRUE	4	GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.01838	146	39	20.27	0.267	1.736	AN0078,AN0182,AN0363,AN0410,AN0640,AN0733,AN0807,AN0988,AN1052,AN10610,AN11891,AN1536,AN1555,AN1848,AN2059,AN2505,AN2919,AN3152,AN3607,AN3719,AN4169,AN4390,AN4419,AN4566,AN4935,AN5028,AN5170,AN5523,AN5759,AN5836,AN6243,AN6578,AN7513,AN7657,AN8262,AN8605,AN9121,AN9380,AN9504
TRUE	TRUE	4	GO:0048518	positive regulation of biological process	0.01848	464	96	64.43	0.207	1.733	AN0056,AN0148,AN0170,AN0182,AN0186,AN0279,AN0295,AN0363,AN0394,AN0410,AN0554,AN0641,AN0655,AN0689,AN0807,AN0914,AN0988,AN10191,AN1052,AN10550,AN1416,AN1425,AN1518,AN1652,AN1800,AN1984,AN2126,AN2130,AN2742,AN2852,AN2875,AN2911,AN2944,AN2965,AN3067,AN3102,AN3152,AN3468,AN3506,AN3607,AN3675,AN3688,AN3719,AN3729,AN3913,AN4080,AN4328,AN4361,AN4419,AN4479,AN4483,AN4563,AN4667,AN4935,AN4969,AN4987,AN4998,AN5028,AN5210,AN5218,AN5351,AN5457,AN5525,AN5558,AN5651,AN5660,AN5740,AN5752,AN5836,AN5893,AN6129,AN6230,AN6243,AN6330,AN6487,AN6508,AN6540,AN6566,AN6578,AN6733,AN7030,AN7468,AN7567,AN7572,AN7610,AN7742,AN8605,AN8741,AN8751,AN8945,AN8978,AN9008,AN9090,AN9121,AN9397,AN9504
TRUE	TRUE	4	GO:0080134	regulation of response to stress	0.01901	89	24	12.36	0.27	1.721	AN0170,AN0182,AN1652,AN2731,AN2875,AN2911,AN3102,AN3468,AN3675,AN3688,AN3719,AN3913,AN4080,AN4310,AN4479,AN4563,AN4987,AN5003,AN5129,AN5210,AN5525,AN6982,AN7513,AN9090
TRUE	TRUE	4	GO:0009251	glucan catabolic process	0.01916	30	11	4.17	0.367	1.718	AN0494,AN1015,AN10550,AN1551,AN2385,AN4700,AN6697,AN7533,AN7610,AN7950,AN8347
TRUE	TRUE	4	GO:0042133	neurotransmitter metabolic process	0.01918	21	8	2.92	0.381	1.717	AN0554,AN10745,AN1429,AN2248,AN2944,AN5134,AN5447,AN7564
TRUE	TRUE	4	GO:0042939	tripeptide transport	0.01919	8	6	1.11	0.75	1.717	AN12476,AN3150,AN3408,AN7188,AN7729,AN8915
TRUE	TRUE	4	GO:0044413	avoidance of host defenses	0.01922	10	5	1.39	0.5	1.716	AN0182,AN0807,AN3913,AN5003,AN7513
TRUE	TRUE	4	GO:0070796	regulation of cleistothecium development	0.02138	10	6	1.39	0.6	1.67	AN0641,AN0988,AN4483,AN5457,AN6243,AN8741
TRUE	TRUE	4	GO:0046653	tetrahydrofolate metabolic process	0.02147	5	3	0.69	0.6	1.668	AN10745,AN2998,AN8188
TRUE	TRUE	4	GO:0070879	fungal-type cell wall beta-glucan metabolic process	0.02147	5	3	0.69	0.6	1.668	AN3729,AN3730,AN7657
TRUE	TRUE	4	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	0.02147	5	3	0.69	0.6	1.668	AN10676,AN10689,AN3113
TRUE	TRUE	4	GO:0006072	glycerol-3-phosphate metabolic process	0.02147	5	3	0.69	0.6	1.668	AN0351,AN1396,AN5589
TRUE	TRUE	4	GO:0006567	threonine catabolic process	0.02147	5	3	0.69	0.6	1.668	AN0554,AN7564,AN8978
TRUE	TRUE	4	GO:0006531	aspartate metabolic process	0.02147	5	3	0.69	0.6	1.668	AN1923,AN1993,AN6048
TRUE	TRUE	4	GO:0090293	nitrogen catabolite regulation of transcription	0.02147	5	3	0.69	0.6	1.668	AN2944,AN3675,AN8168
TRUE	TRUE	4	GO:1900049	regulation of histone exchange	0.02147	5	3	0.69	0.6	1.668	AN1984,AN3067,AN8039
TRUE	TRUE	4	GO:0055075	potassium ion homeostasis	0.02147	5	3	0.69	0.6	1.668	AN7250,AN8029,AN8830
TRUE	TRUE	4	GO:0070795	positive regulation of conidiophore development	0.02147	5	3	0.69	0.6	1.668	AN1800,AN5836,AN8741
TRUE	TRUE	4	GO:0070798	positive regulation of cleistothecium development	0.02147	5	3	0.69	0.6	1.668	AN0641,AN5457,AN8741
TRUE	TRUE	4	GO:0045807	positive regulation of endocytosis	0.02147	5	3	0.69	0.6	1.668	AN0056,AN3729,AN5740
TRUE	TRUE	4	GO:0044275	cellular carbohydrate catabolic process	0.02192	66	20	9.16	0.303	1.659	AN0034,AN0787,AN1015,AN10420,AN10550,AN10599,AN11778,AN2017,AN3368,AN3515,AN3641,AN3913,AN4102,AN4843,AN5672,AN6697,AN7610,AN8347,AN9064,AN9340
TRUE	TRUE	4	GO:1905039	carboxylic acid transmembrane transport	0.02221	53	14	7.36	0.264	1.653	AN10905,AN1659,AN2875,AN3304,AN3345,AN3347,AN4387,AN5226,AN6118,AN6279,AN6578,AN6703,AN8274,AN8785
TRUE	TRUE	4	GO:0010981	regulation of cell wall macromolecule metabolic process	0.02611	9	4	1.25	0.444	1.583	AN10550,AN5740,AN7576,AN7610
TRUE	TRUE	4	GO:0005992	trehalose biosynthetic process	0.02611	9	4	1.25	0.444	1.583	AN0363,AN10533,AN5523,AN9148
TRUE	TRUE	4	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.02611	9	4	1.25	0.444	1.583	AN2911,AN3688,AN7513,AN8251
TRUE	TRUE	4	GO:0009409	response to cold	0.02611	9	4	1.25	0.444	1.583	AN4702,AN7657,AN9340,AN9450
TRUE	TRUE	4	GO:0015718	monocarboxylic acid transport	0.02957	24	9	3.33	0.375	1.529	AN10078,AN10905,AN2962,AN4387,AN5226,AN6014,AN6279,AN6578,AN6703
TRUE	TRUE	4	GO:0009651	response to salt stress	0.02958	25	9	3.47	0.36	1.529	AN10019,AN1624,AN2919,AN3730,AN4479,AN7250,AN7657,AN8830,AN9450
TRUE	TRUE	4	GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.02976	18	6	2.5	0.333	1.526	AN0182,AN1800,AN3688,AN3719,AN3913,AN4479
TRUE	TRUE	4	GO:0009847	spore germination	0.03234	56	15	7.78	0.268	1.49	AN0182,AN0363,AN0914,AN10077,AN1052,AN2421,AN2742,AN2911,AN3719,AN3913,AN4544,AN5836,AN6341,AN7030,AN7619
TRUE	TRUE	4	GO:0006875	cellular metal ion homeostasis	0.03782	87	25	12.08	0.287	1.422	AN0176,AN0607,AN0609,AN1189,AN1628,AN1833,AN1950,AN2508,AN2919,AN3681,AN4655,AN4814,AN4920,AN4990,AN5132,AN5823,AN6541,AN6566,AN7250,AN7468,AN7485,AN7567,AN8029,AN8251,AN8830
TRUE	TRUE	4	GO:0035556	intracellular signal transduction	0.03788	189	40	26.24	0.212	1.422	AN0182,AN0655,AN0664,AN1334,AN1358,AN1800,AN1989,AN2005,AN2130,AN2581,AN2911,AN3102,AN3214,AN3688,AN3719,AN3913,AN4322,AN4369,AN4419,AN4479,AN4702,AN4818,AN4915,AN4987,AN4998,AN5296,AN5660,AN5677,AN5740,AN5768,AN5822,AN5832,AN5893,AN6249,AN6982,AN7572,AN8751,AN8831,AN9008,AN9504
TRUE	TRUE	4	GO:0048523	negative regulation of cellular process	0.0379	365	64	50.68	0.175	1.421	AN0295,AN0363,AN0410,AN0641,AN0988,AN10019,AN10191,AN1052,AN10610,AN1358,AN1800,AN1950,AN1984,AN2126,AN2290,AN2500,AN2731,AN2742,AN2911,AN2965,AN3067,AN3071,AN3468,AN3506,AN3587,AN3607,AN3675,AN3730,AN3913,AN4295,AN4322,AN4483,AN4935,AN4969,AN4987,AN4998,AN5028,AN5129,AN5156,AN5170,AN5351,AN5740,AN5755,AN5822,AN5893,AN6067,AN6195,AN6243,AN6578,AN6733,AN6982,AN7303,AN7468,AN7513,AN8039,AN8129,AN8168,AN8211,AN8251,AN8262,AN8751,AN8797,AN9121,AN9504
TRUE	TRUE	4	GO:0051447	negative regulation of meiotic cell cycle	0.03832	32	10	4.44	0.312	1.417	AN0363,AN1052,AN2911,AN4935,AN4987,AN5170,AN5822,AN6243,AN6578,AN8262
TRUE	TRUE	4	GO:0007265	Ras protein signal transduction	0.03847	40	9	5.55	0.225	1.415	AN0182,AN0655,AN2130,AN3913,AN4987,AN4998,AN5740,AN8751,AN9504
TRUE	TRUE	4	GO:0098659	inorganic cation import across plasma membrane	0.03855	13	4	1.81	0.308	1.414	AN1950,AN3209,AN3799,AN8029
TRUE	TRUE	4	GO:0140115	export across plasma membrane	0.03855	6	3	0.83	0.5	1.414	AN1628,AN4859,AN7250
TRUE	TRUE	4	GO:0098849	cellular detoxification of cadmium ion	0.03855	6	3	0.83	0.5	1.414	AN12476,AN3150,AN7729
TRUE	TRUE	4	GO:0043944	negative regulation of asexual sporulation resulting in formation of a cellular spore	0.03855	6	3	0.83	0.5	1.414	AN0641,AN2742,AN5028
TRUE	TRUE	4	GO:1902404	mitotic actomyosin contractile ring contraction	0.03855	6	3	0.83	0.5	1.414	AN2126,AN4706,AN5740
TRUE	TRUE	4	GO:0015908	fatty acid transport	0.03855	6	3	0.83	0.5	1.414	AN10078,AN6014,AN6279
TRUE	TRUE	4	GO:0006636	unsaturated fatty acid biosynthetic process	0.03855	6	3	0.83	0.5	1.414	AN1037,AN5028,AN6731
TRUE	TRUE	4	GO:0009098	leucine biosynthetic process	0.03855	6	3	0.83	0.5	1.414	AN2793,AN4323,AN5886
TRUE	TRUE	4	GO:1900691	positive regulation of gliotoxin biosynthetic process	0.03855	6	3	0.83	0.5	1.414	AN0807,AN1052,AN2742
TRUE	TRUE	4	GO:0071805	potassium ion transmembrane transport	0.03855	6	3	0.83	0.5	1.414	AN1628,AN7250,AN8029
TRUE	TRUE	4	GO:0042891	antibiotic transport	0.03855	6	3	0.83	0.5	1.414	AN0771,AN5226,AN8274
TRUE	TRUE	4	GO:0015740	C4-dicarboxylate transport	0.03855	6	3	0.83	0.5	1.414	AN2875,AN6118,AN8785
TRUE	TRUE	4	GO:1900437	regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus	0.03855	6	3	0.83	0.5	1.414	AN0182,AN1416,AN3913
TRUE	TRUE	4	GO:0006750	glutathione biosynthetic process	0.03855	6	3	0.83	0.5	1.414	AN12476,AN3150,AN4462
TRUE	TRUE	4	GO:0000917	division septum assembly	0.03859	24	5	3.33	0.208	1.414	AN3729,AN5740,AN7576,AN8751,AN9504
TRUE	TRUE	4	GO:0051235	maintenance of location	0.03866	39	10	5.42	0.256	1.413	AN0607,AN1628,AN1833,AN1950,AN5607,AN5682,AN5829,AN7567,AN7757,AN8751
TRUE	TRUE	4	GO:0015695	organic cation transport	0.03883	10	4	1.39	0.4	1.411	AN10905,AN4328,AN6014,AN7463
TRUE	TRUE	4	GO:0030436	asexual sporulation	0.04154	203	73	28.19	0.36	1.382	AN0182,AN0186,AN0279,AN0363,AN0410,AN0453,AN0641,AN0787,AN0863,AN10030,AN1037,AN10515,AN1052,AN10610,AN1189,AN11891,AN1536,AN1555,AN1632,AN1848,AN2009,AN2059,AN2421,AN2505,AN2523,AN2740,AN2742,AN2911,AN2919,AN3113,AN3129,AN3416,AN3607,AN3688,AN3719,AN3913,AN4563,AN4566,AN4674,AN4695,AN4706,AN4897,AN4935,AN4987,AN5028,AN5156,AN5296,AN5457,AN5660,AN5740,AN5755,AN5757,AN5836,AN5893,AN6230,AN6243,AN6317,AN6318,AN6341,AN6566,AN6578,AN6589,AN6731,AN7030,AN7513,AN7657,AN7757,AN8129,AN8741,AN8751,AN8945,AN9121,AN9339
TRUE	TRUE	4	GO:0007163	establishment or maintenance of cell polarity	0.04325	128	23	17.77	0.18	1.364	AN0078,AN0134,AN0182,AN0410,AN0988,AN1099,AN1334,AN2130,AN3675,AN3787,AN3817,AN4460,AN4923,AN4987,AN4991,AN5129,AN5677,AN5740,AN6340,AN7030,AN7576,AN8226,AN8751
TRUE	TRUE	4	GO:0009267	cellular response to starvation	0.04514	146	33	20.27	0.226	1.345	AN0279,AN0607,AN0609,AN10030,AN10420,AN1428,AN1812,AN1989,AN2130,AN3085,AN3642,AN3675,AN3688,AN3719,AN3913,AN4042,AN4080,AN4255,AN4390,AN4462,AN4923,AN4987,AN5200,AN5210,AN5604,AN5823,AN5860,AN5918,AN6731,AN7468,AN7485,AN7572,AN8251
TRUE	TRUE	4	GO:0010106	cellular response to iron ion starvation	0.04627	15	5	2.08	0.333	1.335	AN0607,AN0609,AN5823,AN7485,AN8251
TRUE	TRUE	4	GO:0080135	regulation of cellular response to stress	0.04838	56	14	7.78	0.25	1.315	AN0170,AN1652,AN2731,AN2911,AN3102,AN3468,AN3675,AN3688,AN4080,AN4563,AN5129,AN6982,AN7513,AN9090
TRUE	TRUE	4	GO:0003333	amino acid transmembrane transport	0.04882	36	8	5	0.222	1.311	AN10905,AN1659,AN2875,AN3304,AN3345,AN3347,AN6118,AN8785
