hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
TRUE	TRUE	4	GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	0.00039	19	10	3.81	0.526	3.409	AN0170,AN0689,AN1017,AN1069,AN1226,AN4310,AN4745,AN4987,AN6505,AN8269
TRUE	TRUE	4	GO:0075306	regulation of conidium formation	0.00058	36	18	7.23	0.5	3.237	AN0279,AN0363,AN0651,AN1052,AN2421,AN2742,AN3607,AN3688,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN7542,AN8129,AN9121
TRUE	TRUE	4	GO:0006099	tricarboxylic acid cycle	0.00099	21	11	4.22	0.524	3.004	AN2332,AN2435,AN2436,AN2916,AN2999,AN3894,AN5525,AN6499,AN6650,AN8275,AN8707
TRUE	TRUE	4	GO:0072593	reactive oxygen species metabolic process	0.00125	18	9	3.61	0.5	2.903	AN0170,AN0241,AN1094,AN2846,AN3581,AN5457,AN5604,AN5918,AN9339
TRUE	TRUE	4	GO:0045733	acetate catabolic process	0.00125	8	6	1.61	0.75	2.903	AN0689,AN5356,AN5626,AN5634,AN6279,AN6653
TRUE	TRUE	4	GO:0071474	cellular hyperosmotic response	0.00125	8	6	1.61	0.75	2.903	AN0351,AN1017,AN3688,AN4479,AN4668,AN5563
TRUE	TRUE	4	GO:0006826	iron ion transport	0.00125	13	7	2.61	0.538	2.903	AN0176,AN3690,AN4990,AN5378,AN7297,AN8251,AN8683
TRUE	TRUE	4	GO:0006874	cellular calcium ion homeostasis	0.0015	26	12	5.22	0.462	2.824	AN0471,AN1189,AN1628,AN1950,AN2919,AN4814,AN4920,AN4990,AN5341,AN6566,AN8830,AN8842
TRUE	TRUE	4	GO:0019521	D-gluconate metabolic process	0.00151	16	9	3.21	0.562	2.821	AN0285,AN1414,AN2493,AN3641,AN3954,AN5918,AN7388,AN8553,AN9339
TRUE	TRUE	4	GO:0071396	cellular response to lipid	0.00159	50	25	10.04	0.5	2.799	AN0179,AN0240,AN0771,AN0797,AN1037,AN10949,AN1396,AN1800,AN2435,AN2530,AN2846,AN4159,AN4376,AN4467,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5886,AN5999,AN6505,AN8269,AN8863
TRUE	TRUE	4	GO:0006875	cellular metal ion homeostasis	0.00159	87	31	17.47	0.356	2.799	AN0176,AN0241,AN0471,AN0607,AN1189,AN1628,AN1950,AN2508,AN2919,AN3681,AN4655,AN4814,AN4920,AN4990,AN5132,AN5341,AN5378,AN5583,AN5856,AN6400,AN6541,AN6566,AN7250,AN7468,AN7485,AN7567,AN7661,AN8029,AN8251,AN8830,AN8842
TRUE	TRUE	4	GO:0045944	positive regulation of transcription by RNA polymerase II	0.0016	108	34	21.68	0.315	2.796	AN0241,AN0689,AN1017,AN10191,AN11910,AN1227,AN1303,AN1339,AN1425,AN1518,AN2761,AN2852,AN2911,AN2944,AN2996,AN3224,AN3422,AN3506,AN3675,AN3688,AN4182,AN4558,AN4987,AN5651,AN5747,AN5752,AN6505,AN6733,AN7050,AN7468,AN7572,AN7661,AN8978,AN9397
TRUE	TRUE	4	GO:0006094	gluconeogenesis	0.00161	26	12	5.22	0.462	2.793	AN1246,AN1761,AN1918,AN2875,AN3059,AN3223,AN4462,AN4690,AN5210,AN5604,AN5746,AN7468
TRUE	TRUE	4	GO:0006808	regulation of nitrogen utilization	0.00162	11	8	2.21	0.727	2.79	AN0098,AN10019,AN1339,AN2944,AN3255,AN3675,AN8168,AN8667
TRUE	TRUE	4	GO:0030004	cellular monovalent inorganic cation homeostasis	0.00162	16	7	3.21	0.438	2.79	AN1339,AN2302,AN4332,AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	4	GO:0034221	fungal-type cell wall chitin biosynthetic process	0.00162	6	5	1.2	0.833	2.79	AN1069,AN10709,AN4234,AN4501,AN4566
TRUE	TRUE	4	GO:0000209	protein polyubiquitination	0.002	11	7	2.21	0.636	2.699	AN0226,AN1339,AN2761,AN3644,AN5129,AN5681,AN6359
TRUE	TRUE	4	GO:0006357	regulation of transcription by RNA polymerase II	0.00222	226	71	45.37	0.314	2.654	AN0098,AN0241,AN0279,AN0410,AN0689,AN0988,AN10019,AN1017,AN10191,AN10550,AN1060,AN10763,AN11704,AN11910,AN11961,AN1227,AN1272,AN1303,AN1339,AN1416,AN1425,AN1518,AN2290,AN2421,AN2761,AN2852,AN2855,AN2902,AN2911,AN2944,AN2996,AN3224,AN3422,AN3423,AN3468,AN3506,AN3675,AN3688,AN4182,AN4210,AN4501,AN4558,AN4741,AN4935,AN4976,AN4987,AN5651,AN5747,AN5752,AN5836,AN5893,AN6129,AN6195,AN6505,AN6733,AN7050,AN7103,AN7297,AN7303,AN7468,AN7513,AN7542,AN7572,AN7610,AN7661,AN8039,AN8168,AN8251,AN8978,AN9095,AN9397
TRUE	TRUE	4	GO:0009408	response to heat	0.00234	73	33	14.65	0.452	2.631	AN0410,AN0651,AN0858,AN1015,AN1017,AN1282,AN1652,AN2269,AN2530,AN2731,AN2761,AN2911,AN4189,AN4310,AN4462,AN4467,AN4501,AN4668,AN4702,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6089,AN6849,AN7388,AN7513,AN7572,AN8269,AN8643,AN9450
TRUE	TRUE	4	GO:0044275	cellular carbohydrate catabolic process	0.0026	66	23	13.25	0.348	2.585	AN0787,AN1015,AN10420,AN10550,AN10599,AN11778,AN2017,AN2666,AN3368,AN3515,AN3641,AN3954,AN4102,AN4182,AN4843,AN5672,AN5985,AN6035,AN6697,AN7610,AN8347,AN9064,AN9340
TRUE	TRUE	4	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.00312	9	6	1.81	0.667	2.506	AN0241,AN1017,AN2911,AN3688,AN7513,AN8251
TRUE	TRUE	4	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.00312	9	6	1.81	0.667	2.506	AN0241,AN1017,AN3688,AN4987,AN7572,AN7661
TRUE	TRUE	4	GO:0000103	sulfate assimilation	0.00312	9	6	1.81	0.667	2.506	AN0170,AN1752,AN1769,AN2730,AN4769,AN7600
TRUE	TRUE	4	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.00397	12	7	2.41	0.583	2.401	AN1017,AN2911,AN3941,AN4182,AN4896,AN7572,AN9504
TRUE	TRUE	4	GO:0070873	regulation of glycogen metabolic process	0.00397	12	7	2.41	0.583	2.401	AN11098,AN2421,AN4182,AN4987,AN7610,AN7661,AN8667
TRUE	TRUE	4	GO:0000160	phosphorelay signal transduction system	0.00428	20	12	4.02	0.6	2.369	AN1800,AN2005,AN2581,AN3102,AN3214,AN3688,AN4113,AN4447,AN4479,AN5296,AN7572,AN9008
TRUE	TRUE	4	GO:0009651	response to salt stress	0.00428	25	14	5.02	0.56	2.369	AN10019,AN1017,AN1493,AN1624,AN2919,AN3730,AN4479,AN5563,AN5564,AN6505,AN7250,AN7657,AN8830,AN9450
TRUE	TRUE	4	GO:0006879	cellular iron ion homeostasis	0.00431	38	15	7.63	0.395	2.366	AN0176,AN0241,AN0607,AN2508,AN3681,AN4655,AN4990,AN5132,AN5378,AN6400,AN7468,AN7485,AN7567,AN7661,AN8251
TRUE	TRUE	4	GO:0070301	cellular response to hydrogen peroxide	0.00433	18	9	3.61	0.5	2.364	AN0363,AN2846,AN3688,AN4758,AN5523,AN5918,AN6849,AN8643,AN9339
TRUE	TRUE	4	GO:0050821	protein stabilization	0.00474	7	5	1.41	0.714	2.324	AN0241,AN1017,AN1780,AN4899,AN6089
TRUE	TRUE	4	GO:0071472	cellular response to salt stress	0.00474	7	5	1.41	0.714	2.324	AN1624,AN2919,AN4479,AN5563,AN6505
TRUE	TRUE	4	GO:0048523	negative regulation of cellular process	0.00618	365	96	73.27	0.263	2.209	AN0065,AN0082,AN0241,AN0363,AN0410,AN0641,AN0988,AN10019,AN1017,AN10171,AN10191,AN1052,AN10610,AN10614,AN10763,AN1226,AN1227,AN1272,AN1358,AN1761,AN1800,AN1950,AN1984,AN2067,AN2126,AN2141,AN2290,AN2302,AN2430,AN2500,AN2555,AN2731,AN2742,AN2911,AN2965,AN2995,AN3067,AN3071,AN3423,AN3468,AN3506,AN3587,AN3607,AN3675,AN3730,AN3735,AN3919,AN3941,AN4034,AN4182,AN4295,AN4322,AN4360,AN4483,AN4500,AN4501,AN4935,AN4969,AN4987,AN5028,AN5129,AN5156,AN5170,AN5341,AN5351,AN5676,AN5740,AN5747,AN5755,AN5803,AN5822,AN5893,AN5973,AN5981,AN6067,AN6070,AN6082,AN6195,AN6243,AN6505,AN6733,AN6982,AN7303,AN7468,AN7513,AN7563,AN8039,AN8129,AN8168,AN8211,AN8251,AN8262,AN8797,AN9113,AN9121,AN9504
TRUE	TRUE	4	GO:0019740	nitrogen utilization	0.00638	21	14	4.22	0.667	2.195	AN0098,AN10019,AN1339,AN2944,AN3255,AN3675,AN4159,AN4376,AN5134,AN5226,AN6129,AN7463,AN8168,AN8667
TRUE	TRUE	4	GO:0006334	nucleosome assembly	0.00645	17	9	3.41	0.529	2.19	AN0733,AN0734,AN3067,AN3468,AN3469,AN6554,AN8039,AN8170,AN8863
TRUE	TRUE	4	GO:0031505	fungal-type cell wall organization	0.00677	108	36	21.68	0.333	2.169	AN0241,AN1017,AN10311,AN10763,AN11152,AN11694,AN1189,AN1358,AN1555,AN2067,AN3113,AN3148,AN3152,AN3422,AN3719,AN3729,AN3730,AN3914,AN4189,AN4390,AN4419,AN4515,AN4566,AN4615,AN5740,AN6317,AN6318,AN6487,AN6542,AN6566,AN6733,AN7511,AN7533,AN7657,AN8842,AN9380
TRUE	TRUE	4	GO:0070793	regulation of conidiophore development	0.00678	10	7	2.01	0.7	2.169	AN0363,AN0988,AN1052,AN1800,AN4563,AN5836,AN8741
TRUE	TRUE	4	GO:0016237	lysosomal microautophagy	0.00678	21	9	4.22	0.429	2.169	AN0127,AN10637,AN12017,AN1334,AN1632,AN2903,AN3470,AN4666,AN5131
TRUE	TRUE	4	GO:0060238	regulation of signal transduction involved in conjugation with cellular fusion	0.0068	5	4	1	0.8	2.167	AN2430,AN2555,AN4935,AN5893
TRUE	TRUE	4	GO:0007234	osmosensory signaling via phosphorelay pathway	0.0068	5	4	1	0.8	2.167	AN1800,AN2005,AN3688,AN4479
TRUE	TRUE	4	GO:0070879	fungal-type cell wall beta-glucan metabolic process	0.0068	5	4	1	0.8	2.167	AN2062,AN3729,AN3730,AN7657
TRUE	TRUE	4	GO:0046653	tetrahydrofolate metabolic process	0.0068	5	4	1	0.8	2.167	AN10745,AN2998,AN3058,AN8188
TRUE	TRUE	4	GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.0068	5	4	1	0.8	2.167	AN11252,AN3431,AN5200,AN5952
TRUE	TRUE	4	GO:0045807	positive regulation of endocytosis	0.0068	5	4	1	0.8	2.167	AN0056,AN1339,AN3729,AN5740
TRUE	TRUE	4	GO:1900049	regulation of histone exchange	0.0068	5	4	1	0.8	2.167	AN1984,AN3067,AN3423,AN8039
TRUE	TRUE	4	GO:0055075	potassium ion homeostasis	0.0068	5	4	1	0.8	2.167	AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	4	GO:0006545	glycine biosynthetic process	0.0068	5	4	1	0.8	2.167	AN10745,AN1342,AN3058,AN7564
TRUE	TRUE	4	GO:0042144	vacuole fusion, non-autophagic	0.0071	21	10	4.22	0.476	2.149	AN0170,AN0802,AN10193,AN10637,AN12017,AN1334,AN4697,AN5740,AN5746,AN7729
TRUE	TRUE	4	GO:0019725	cellular homeostasis	0.00782	162	58	32.52	0.358	2.107	AN0170,AN0176,AN0241,AN0351,AN0410,AN0471,AN0607,AN10019,AN1017,AN1052,AN10949,AN1189,AN1339,AN1628,AN1950,AN2072,AN2130,AN2302,AN2508,AN2846,AN2911,AN2919,AN3581,AN3587,AN3607,AN3644,AN3681,AN4255,AN4332,AN4655,AN4814,AN4920,AN4987,AN4990,AN5132,AN5156,AN5341,AN5378,AN5563,AN5583,AN5757,AN5856,AN6400,AN6541,AN6566,AN7185,AN7250,AN7468,AN7485,AN7567,AN7661,AN7729,AN8029,AN8251,AN8271,AN8689,AN8830,AN8842
TRUE	TRUE	4	GO:0000302	response to reactive oxygen species	0.00798	33	18	6.62	0.545	2.098	AN0170,AN0241,AN0363,AN0394,AN1017,AN10220,AN2846,AN2981,AN3581,AN3688,AN4758,AN5523,AN5918,AN6849,AN7388,AN7513,AN8643,AN9339
TRUE	TRUE	4	GO:0071495	cellular response to endogenous stimulus	0.00806	16	8	3.21	0.5	2.094	AN0771,AN10949,AN2944,AN3675,AN3941,AN4182,AN8168,AN8269
TRUE	TRUE	4	GO:1900377	negative regulation of secondary metabolite biosynthetic process	0.00808	8	4	1.61	0.5	2.093	AN1052,AN3675,AN7513,AN8797
TRUE	TRUE	4	GO:0007266	Rho protein signal transduction	0.00809	11	4	2.21	0.364	2.092	AN10442,AN2067,AN5740,AN6210
TRUE	TRUE	4	GO:0016241	regulation of macroautophagy	0.0081	14	4	2.81	0.286	2.092	AN1017,AN10171,AN4419,AN5131
TRUE	TRUE	4	GO:0007163	establishment or maintenance of cell polarity	0.0094	128	36	25.7	0.281	2.027	AN0078,AN0134,AN0410,AN0411,AN0821,AN0988,AN1017,AN10396,AN10709,AN1099,AN1334,AN1475,AN2067,AN2130,AN2936,AN2968,AN3062,AN3675,AN3735,AN3787,AN3817,AN4171,AN4460,AN4987,AN4991,AN5020,AN5116,AN5129,AN5195,AN5677,AN5740,AN5973,AN6542,AN6685,AN7030,AN7576
TRUE	TRUE	4	GO:0006338	chromatin remodeling	0.01008	60	20	12.05	0.333	1.997	AN0098,AN0733,AN1984,AN2885,AN2911,AN3067,AN3071,AN3423,AN5099,AN5747,AN6195,AN6505,AN6542,AN7297,AN7475,AN8039,AN8211,AN8667,AN8978,AN9100
TRUE	TRUE	4	GO:0007231	osmosensory signaling pathway	0.01049	13	9	2.61	0.692	1.979	AN1017,AN1358,AN1800,AN2005,AN2269,AN3688,AN4479,AN4668,AN4745
TRUE	TRUE	4	GO:0031331	positive regulation of cellular catabolic process	0.0105	35	13	7.03	0.371	1.979	AN10171,AN10550,AN1339,AN2944,AN2965,AN3675,AN4182,AN4419,AN5651,AN6540,AN7572,AN7610,AN9090
TRUE	TRUE	4	GO:1901568	fatty acid derivative metabolic process	0.01055	8	5	1.61	0.625	1.977	AN0593,AN10495,AN5028,AN5669,AN6014
TRUE	TRUE	4	GO:0001676	long-chain fatty acid metabolic process	0.01055	8	5	1.61	0.625	1.977	AN6014,AN6126,AN7050,AN9407,AN9408
TRUE	TRUE	4	GO:0006696	ergosterol biosynthetic process	0.01113	34	14	6.83	0.412	1.954	AN0451,AN0608,AN10396,AN1339,AN2069,AN2311,AN3817,AN3869,AN4042,AN4329,AN6236,AN6506,AN7146,AN7661
TRUE	TRUE	4	GO:0048585	negative regulation of response to stimulus	0.01165	53	20	10.64	0.377	1.934	AN1017,AN10171,AN1339,AN1358,AN2430,AN2555,AN2731,AN2911,AN4182,AN4310,AN4322,AN4745,AN4935,AN4987,AN5129,AN5755,AN5893,AN5973,AN6982,AN9504
TRUE	TRUE	4	GO:0000045	autophagosome assembly	0.01183	11	6	2.21	0.545	1.927	AN10171,AN1632,AN1760,AN3470,AN4419,AN5131
TRUE	TRUE	4	GO:0075308	negative regulation of conidium formation	0.01183	11	6	2.21	0.545	1.927	AN0363,AN1052,AN3607,AN5156,AN8129,AN9121
TRUE	TRUE	4	GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.01387	146	53	29.31	0.363	1.858	AN0078,AN0098,AN0363,AN0410,AN0640,AN0651,AN0733,AN0807,AN0988,AN1017,AN10193,AN10306,AN1052,AN10610,AN11891,AN1536,AN1555,AN1848,AN2059,AN2071,AN2269,AN2505,AN2919,AN3148,AN3152,AN3422,AN3607,AN3719,AN4169,AN4390,AN4419,AN4501,AN4566,AN4615,AN4935,AN5028,AN5170,AN5195,AN5523,AN5579,AN5759,AN5836,AN6243,AN6505,AN6542,AN7185,AN7513,AN7657,AN8262,AN8605,AN9121,AN9380,AN9504
TRUE	TRUE	4	GO:0006468	protein phosphorylation	0.01438	182	61	36.54	0.335	1.842	AN0988,AN10019,AN1017,AN10193,AN10515,AN1096,AN1097,AN11961,AN1272,AN1358,AN1632,AN1800,AN2067,AN2265,AN2269,AN2911,AN2927,AN2943,AN3001,AN3102,AN3422,AN3719,AN3941,AN4113,AN4182,AN4189,AN4196,AN4322,AN4483,AN4563,AN4667,AN4668,AN4702,AN4935,AN4984,AN4987,AN5156,AN5660,AN5676,AN5719,AN5728,AN5740,AN5757,AN5759,AN5822,AN5973,AN6243,AN6347,AN6508,AN6570,AN6982,AN7030,AN7185,AN7537,AN7563,AN7572,AN8830,AN9095,AN9461,AN9500,AN9504
TRUE	TRUE	4	GO:0016584	nucleosome positioning	0.01656	18	8	3.61	0.444	1.781	AN0098,AN10191,AN10763,AN2911,AN3423,AN4034,AN6195,AN6505
TRUE	TRUE	4	GO:0006109	regulation of carbohydrate metabolic process	0.017	37	16	7.43	0.432	1.77	AN0410,AN10550,AN11098,AN1761,AN2421,AN4034,AN4182,AN4501,AN4987,AN5740,AN6570,AN7468,AN7576,AN7610,AN7661,AN8667
TRUE	TRUE	4	GO:0007155	cell adhesion	0.01708	32	12	6.42	0.375	1.768	AN0797,AN10227,AN10763,AN1199,AN2944,AN4189,AN4295,AN6129,AN6230,AN6505,AN6570,AN7041
TRUE	TRUE	4	GO:0043405	regulation of MAP kinase activity	0.01709	13	8	2.61	0.615	1.767	AN1358,AN2269,AN3422,AN4189,AN4702,AN5660,AN5740,AN6982
TRUE	TRUE	4	GO:0062014	negative regulation of small molecule metabolic process	0.01711	11	7	2.21	0.636	1.767	AN1052,AN1226,AN1761,AN3675,AN4500,AN7513,AN8797
TRUE	TRUE	4	GO:0051403	stress-activated MAPK cascade	0.01714	11	6	2.21	0.545	1.766	AN1017,AN2269,AN2911,AN3102,AN3422,AN6982
TRUE	TRUE	4	GO:0051447	negative regulation of meiotic cell cycle	0.01714	32	10	6.42	0.312	1.766	AN0363,AN1052,AN2911,AN4182,AN4935,AN4987,AN5170,AN5822,AN6243,AN8262
TRUE	TRUE	4	GO:0034635	glutathione transport	0.01716	6	4	1.2	0.667	1.765	AN12476,AN3150,AN7188,AN7729
TRUE	TRUE	4	GO:0042891	antibiotic transport	0.01716	6	4	1.2	0.667	1.765	AN0771,AN10949,AN5226,AN8274
TRUE	TRUE	4	GO:0006750	glutathione biosynthetic process	0.01716	6	4	1.2	0.667	1.765	AN12476,AN2846,AN3150,AN4462
TRUE	TRUE	4	GO:0015740	C4-dicarboxylate transport	0.01716	6	4	1.2	0.667	1.765	AN0066,AN2875,AN6118,AN8785
TRUE	TRUE	4	GO:0043944	negative regulation of asexual sporulation resulting in formation of a cellular spore	0.01716	6	4	1.2	0.667	1.765	AN0082,AN0641,AN2742,AN5028
TRUE	TRUE	4	GO:1903379	regulation of mitotic chromosome condensation	0.01716	6	4	1.2	0.667	1.765	AN0065,AN0410,AN4182,AN9504
TRUE	TRUE	4	GO:0033347	tetrose metabolic process	0.01716	6	4	1.2	0.667	1.765	AN4829,AN5563,AN5986,AN7193
TRUE	TRUE	4	GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	0.01716	6	4	1.2	0.667	1.765	AN0643,AN2062,AN4589,AN5129
TRUE	TRUE	4	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.0197	12	6	2.41	0.5	1.706	AN1096,AN3941,AN4984,AN5156,AN5822,AN9500
TRUE	TRUE	4	GO:0044416	induction by symbiont of host defense response	0.0197	12	6	2.41	0.5	1.706	AN1246,AN2875,AN4443,AN5210,AN5525,AN5746
TRUE	TRUE	4	GO:0010959	regulation of metal ion transport	0.01985	9	5	1.81	0.556	1.702	AN0176,AN1017,AN5341,AN7297,AN8251
TRUE	TRUE	4	GO:0009409	response to cold	0.01985	9	5	1.81	0.556	1.702	AN4702,AN6149,AN7657,AN9340,AN9450
TRUE	TRUE	4	GO:1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	0.01985	9	5	1.81	0.556	1.702	AN0608,AN2855,AN3817,AN6236,AN8251
TRUE	TRUE	4	GO:0005992	trehalose biosynthetic process	0.01985	9	5	1.81	0.556	1.702	AN0363,AN10533,AN5523,AN8639,AN9148
TRUE	TRUE	4	GO:0006836	neurotransmitter transport	0.01985	9	5	1.81	0.556	1.702	AN10905,AN2962,AN6118,AN8785,AN8966
TRUE	TRUE	4	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.01985	9	5	1.81	0.556	1.702	AN0226,AN2302,AN2761,AN6359,AN9113
TRUE	TRUE	4	GO:0006091	generation of precursor metabolites and energy	0.02254	170	64	34.13	0.376	1.647	AN0241,AN0357,AN0410,AN0595,AN0802,AN1015,AN1017,AN10495,AN1094,AN11098,AN1189,AN1246,AN1624,AN1628,AN1918,AN2099,AN2315,AN2332,AN2421,AN2435,AN2436,AN2875,AN2916,AN2968,AN2999,AN3059,AN3068,AN3223,AN3641,AN3813,AN3894,AN3901,AN3954,AN4064,AN4182,AN4388,AN4462,AN4501,AN4525,AN4690,AN4859,AN4920,AN4987,AN5210,AN5457,AN5525,AN5604,AN5669,AN5743,AN5746,AN5888,AN6279,AN6499,AN6642,AN6650,AN7610,AN7661,AN8010,AN8118,AN8275,AN8667,AN8689,AN8707,AN9148
TRUE	TRUE	4	GO:0006098	pentose-phosphate shunt	0.02368	19	8	3.81	0.421	1.626	AN0240,AN0285,AN0593,AN0688,AN2981,AN3954,AN6195,AN7588
TRUE	TRUE	4	GO:0016310	phosphorylation	0.02496	263	90	52.8	0.342	1.603	AN0259,AN0357,AN0988,AN10019,AN1017,AN10193,AN10515,AN1096,AN1097,AN11961,AN1246,AN1272,AN1358,AN1632,AN1769,AN1800,AN1918,AN2067,AN2265,AN2269,AN2311,AN2315,AN2581,AN2875,AN2911,AN2927,AN2943,AN3001,AN3059,AN3102,AN3214,AN3223,AN3422,AN3641,AN3719,AN3941,AN3954,AN4113,AN4182,AN4189,AN4196,AN4322,AN4388,AN4447,AN4462,AN4479,AN4483,AN4525,AN4563,AN4667,AN4668,AN4690,AN4702,AN4935,AN4957,AN4984,AN4987,AN5144,AN5156,AN5210,AN5296,AN5604,AN5660,AN5676,AN5719,AN5728,AN5740,AN5746,AN5757,AN5759,AN5822,AN5973,AN6207,AN6243,AN6347,AN6508,AN6570,AN6982,AN7030,AN7185,AN7537,AN7563,AN7572,AN8118,AN8689,AN8830,AN9095,AN9461,AN9500,AN9504
TRUE	TRUE	4	GO:0051187	cofactor catabolic process	0.02708	16	7	3.21	0.438	1.567	AN0170,AN0593,AN2846,AN5918,AN6239,AN8275,AN9339
TRUE	TRUE	4	GO:0030476	ascospore wall assembly	0.02708	16	7	3.21	0.438	1.567	AN1555,AN3148,AN4390,AN4419,AN4566,AN6542,AN9380
TRUE	TRUE	4	GO:0006525	arginine metabolic process	0.02712	24	8	4.82	0.333	1.567	AN0565,AN2914,AN5999,AN8075,AN8231,AN8667,AN8777,AN9090
TRUE	TRUE	4	GO:0010565	regulation of cellular ketone metabolic process	0.0272	41	18	8.23	0.439	1.565	AN0651,AN0807,AN1052,AN1226,AN1339,AN2855,AN2944,AN3607,AN3675,AN3719,AN5651,AN6505,AN7050,AN7513,AN8667,AN8741,AN8797,AN9008
TRUE	TRUE	4	GO:0007584	response to nutrient	0.02727	31	14	6.22	0.452	1.564	AN0394,AN0554,AN0988,AN1017,AN2944,AN3587,AN3675,AN3688,AN6195,AN6505,AN6982,AN7468,AN7513,AN8168
TRUE	TRUE	4	GO:0006816	calcium ion transport	0.02732	24	11	4.82	0.458	1.564	AN0471,AN1189,AN1628,AN1950,AN3036,AN4814,AN4920,AN5341,AN5743,AN5821,AN8842
TRUE	TRUE	4	GO:0006038	cell wall chitin biosynthetic process	0.02733	10	8	2.01	0.8	1.563	AN1069,AN10709,AN1555,AN4234,AN4501,AN4566,AN6318,AN7576
TRUE	TRUE	4	GO:0051592	response to calcium ion	0.02738	12	7	2.41	0.583	1.563	AN1189,AN1652,AN4169,AN4614,AN5341,AN6249,AN6566
TRUE	TRUE	4	GO:0006084	acetyl-CoA metabolic process	0.0274	15	7	3.01	0.467	1.562	AN1547,AN2311,AN3817,AN3869,AN5626,AN6279,AN8275
TRUE	TRUE	4	GO:0033246	positive regulation of penicillin metabolic process	0.02741	11	6	2.21	0.545	1.562	AN0651,AN0807,AN1052,AN3719,AN8741,AN9008
TRUE	TRUE	4	GO:0046825	regulation of protein export from nucleus	0.02744	11	5	2.21	0.455	1.562	AN0651,AN1339,AN4501,AN4987,AN7185
TRUE	TRUE	4	GO:0019626	short-chain fatty acid catabolic process	0.02747	9	4	1.81	0.444	1.561	AN1303,AN1425,AN6650,AN7050
TRUE	TRUE	4	GO:0006979	response to oxidative stress	0.03056	144	59	28.91	0.41	1.515	AN0158,AN0170,AN0241,AN0363,AN0394,AN0607,AN0771,AN0988,AN1017,AN10193,AN10220,AN10515,AN10949,AN1274,AN1632,AN1652,AN2067,AN2099,AN2269,AN2846,AN2911,AN2981,AN3102,AN3581,AN3688,AN3793,AN3829,AN3954,AN4064,AN4483,AN4668,AN4758,AN4935,AN4987,AN5028,AN5131,AN5447,AN5523,AN5755,AN5803,AN5918,AN5975,AN5991,AN6542,AN6849,AN7388,AN7513,AN7567,AN7572,AN8251,AN8414,AN8553,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339,AN9450
TRUE	TRUE	4	GO:0035556	intracellular signal transduction	0.03193	189	62	37.94	0.328	1.496	AN0411,AN0449,AN0651,AN0655,AN0664,AN1017,AN10171,AN10442,AN10614,AN1126,AN12017,AN1283,AN1334,AN1358,AN1800,AN1989,AN2005,AN2067,AN2130,AN2269,AN2581,AN2911,AN3102,AN3214,AN3422,AN3688,AN3719,AN3735,AN3941,AN4113,AN4171,AN4182,AN4189,AN4322,AN4369,AN4419,AN4447,AN4479,AN4501,AN4702,AN4915,AN4987,AN5020,AN5195,AN5296,AN5341,AN5660,AN5677,AN5740,AN5768,AN5822,AN5832,AN5893,AN5973,AN6210,AN6249,AN6982,AN7572,AN8831,AN8842,AN9008,AN9504
TRUE	TRUE	4	GO:0071852	fungal-type cell wall organization or biogenesis	0.03281	145	49	29.11	0.338	1.484	AN0241,AN1017,AN10311,AN1069,AN10709,AN10763,AN11152,AN11694,AN1189,AN1358,AN1555,AN1950,AN2062,AN2067,AN2303,AN3113,AN3148,AN3152,AN3422,AN3719,AN3729,AN3730,AN3914,AN4169,AN4189,AN4234,AN4390,AN4419,AN4501,AN4515,AN4566,AN4615,AN5660,AN5740,AN5746,AN6317,AN6318,AN6487,AN6542,AN6566,AN6733,AN7511,AN7533,AN7576,AN7657,AN7700,AN8117,AN8842,AN9380
TRUE	TRUE	4	GO:0006873	cellular ion homeostasis	0.03286	105	40	21.08	0.381	1.483	AN0176,AN0241,AN0410,AN0471,AN0607,AN10019,AN10949,AN1189,AN1339,AN1628,AN1950,AN2302,AN2508,AN2919,AN3681,AN4332,AN4655,AN4814,AN4920,AN4990,AN5132,AN5156,AN5341,AN5378,AN5583,AN5856,AN6400,AN6541,AN6566,AN7185,AN7250,AN7468,AN7485,AN7567,AN7661,AN8029,AN8251,AN8271,AN8830,AN8842
TRUE	TRUE	4	GO:0017001	antibiotic catabolic process	0.03291	29	14	5.82	0.483	1.483	AN0170,AN0689,AN1226,AN2846,AN5226,AN5356,AN5626,AN5634,AN5918,AN6279,AN6650,AN6653,AN8978,AN9339
