hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
TRUE	TRUE	4	GO:0097308	cellular response to farnesol	0.00365	46	18	9.63	0.391	2.438	AN0179,AN0182,AN10518,AN1396,AN1800,AN2435,AN2846,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5886,AN5999,AN8863
TRUE	TRUE	4	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.00389	14	8	2.93	0.571	2.41	AN0363,AN0807,AN1052,AN3152,AN3607,AN3719,AN5028,AN9121
TRUE	TRUE	4	GO:0006836	neurotransmitter transport	0.0039	9	6	1.88	0.667	2.409	AN10905,AN2962,AN3663,AN6118,AN8785,AN8966
TRUE	TRUE	4	GO:0000103	sulfate assimilation	0.0039	9	6	1.88	0.667	2.409	AN0170,AN1752,AN2730,AN4769,AN4770,AN7600
TRUE	TRUE	4	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.0039	9	6	1.88	0.667	2.409	AN0241,AN1017,AN2911,AN3688,AN7513,AN8251
TRUE	TRUE	4	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.0039	9	6	1.88	0.667	2.409	AN0241,AN1017,AN3688,AN4987,AN7572,AN7661
TRUE	TRUE	4	GO:0009409	response to cold	0.0039	9	6	1.88	0.667	2.409	AN10902,AN4702,AN6149,AN7657,AN9340,AN9450
TRUE	TRUE	4	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.00508	12	7	2.51	0.583	2.294	AN1096,AN3755,AN3941,AN4984,AN5156,AN5822,AN9500
TRUE	TRUE	4	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.00508	12	7	2.51	0.583	2.294	AN0931,AN1017,AN2489,AN2911,AN3941,AN7572,AN9504
TRUE	TRUE	4	GO:0000160	phosphorelay signal transduction system	0.00561	20	12	4.19	0.6	2.251	AN1800,AN2005,AN2581,AN3102,AN3214,AN3688,AN4113,AN4479,AN4818,AN5296,AN7572,AN9008
TRUE	TRUE	4	GO:0010106	cellular response to iron ion starvation	0.00566	15	8	3.14	0.533	2.247	AN0241,AN0607,AN0609,AN10080,AN5823,AN7485,AN8251,AN8540
TRUE	TRUE	4	GO:1900443	regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.00569	25	13	5.23	0.52	2.245	AN0098,AN0182,AN0689,AN0891,AN1017,AN1800,AN3688,AN3719,AN4479,AN4501,AN4745,AN4987,AN8414
TRUE	TRUE	4	GO:0006879	cellular iron ion homeostasis	0.00572	38	18	7.95	0.474	2.243	AN0176,AN0241,AN0607,AN0609,AN10080,AN2508,AN3681,AN4655,AN4990,AN5132,AN5378,AN5823,AN7468,AN7485,AN7567,AN7661,AN8251,AN8540
TRUE	TRUE	4	GO:0046656	folic acid biosynthetic process	0.00574	7	5	1.46	0.714	2.241	AN2493,AN2998,AN4384,AN6032,AN8188
TRUE	TRUE	4	GO:0006469	negative regulation of protein kinase activity	0.00574	7	5	1.46	0.714	2.241	AN1358,AN1800,AN4987,AN5217,AN6982
TRUE	TRUE	4	GO:0031505	fungal-type cell wall organization	0.00582	108	36	22.6	0.333	2.235	AN0241,AN0667,AN0931,AN1017,AN10311,AN10763,AN11152,AN1189,AN1358,AN1555,AN1573,AN2067,AN2412,AN3113,AN3148,AN3152,AN3422,AN3719,AN3729,AN3730,AN3914,AN4189,AN4390,AN4419,AN4515,AN4566,AN4615,AN5740,AN6317,AN6318,AN6566,AN6733,AN7511,AN7533,AN7657,AN9380
TRUE	TRUE	4	GO:0048523	negative regulation of cellular process	0.00779	365	93	76.39	0.255	2.108	AN0065,AN0082,AN0241,AN0295,AN0363,AN0410,AN0641,AN10059,AN1017,AN10171,AN10191,AN1052,AN10610,AN10614,AN10763,AN1170,AN1358,AN1761,AN1800,AN1950,AN1984,AN2067,AN2126,AN2290,AN2302,AN2430,AN2484,AN2489,AN2500,AN2731,AN2742,AN2862,AN2911,AN2965,AN2995,AN3067,AN3071,AN3387,AN3423,AN3468,AN3506,AN3587,AN3607,AN3675,AN3725,AN3730,AN3919,AN3941,AN4034,AN4295,AN4322,AN4360,AN4483,AN4500,AN4501,AN4570,AN4935,AN4969,AN4987,AN5028,AN5129,AN5156,AN5170,AN5217,AN5341,AN5351,AN5740,AN5747,AN5755,AN5822,AN5893,AN5973,AN6067,AN6070,AN6195,AN6243,AN6733,AN6982,AN7007,AN7169,AN7303,AN7468,AN7513,AN8039,AN8129,AN8168,AN8211,AN8251,AN8262,AN8282,AN8797,AN9121,AN9504
TRUE	TRUE	4	GO:0010913	regulation of sterigmatocystin biosynthetic process	0.0079	26	14	5.44	0.538	2.102	AN0363,AN0651,AN0807,AN1052,AN2742,AN3607,AN3719,AN4570,AN5028,AN5893,AN6243,AN7513,AN8741,AN9008
TRUE	TRUE	4	GO:0019740	nitrogen utilization	0.00796	21	12	4.39	0.571	2.099	AN0098,AN1339,AN2944,AN3675,AN4159,AN4376,AN5134,AN5226,AN6129,AN7463,AN8168,AN8667
TRUE	TRUE	4	GO:0070879	fungal-type cell wall beta-glucan metabolic process	0.00797	5	4	1.05	0.8	2.099	AN2062,AN3729,AN3730,AN7657
TRUE	TRUE	4	GO:0000187	activation of MAPK activity	0.00797	5	4	1.05	0.8	2.099	AN0931,AN3422,AN4189,AN5660
TRUE	TRUE	4	GO:0031169	ferrichrome biosynthetic process	0.00797	5	4	1.05	0.8	2.099	AN0607,AN0609,AN5823,AN8251
TRUE	TRUE	4	GO:0055075	potassium ion homeostasis	0.00797	5	4	1.05	0.8	2.099	AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	4	GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.00797	5	4	1.05	0.8	2.099	AN11252,AN2509,AN3431,AN5200
TRUE	TRUE	4	GO:0007234	osmosensory signaling via phosphorelay pathway	0.00797	5	4	1.05	0.8	2.099	AN1800,AN2005,AN3688,AN4479
TRUE	TRUE	4	GO:0045807	positive regulation of endocytosis	0.00797	5	4	1.05	0.8	2.099	AN0056,AN1339,AN3729,AN5740
TRUE	TRUE	4	GO:0051187	cofactor catabolic process	0.00803	16	7	3.35	0.438	2.095	AN0170,AN0593,AN1879,AN2846,AN5918,AN6239,AN9339
TRUE	TRUE	4	GO:0019725	cellular homeostasis	0.00886	162	61	33.9	0.377	2.053	AN0170,AN0176,AN0182,AN0241,AN0351,AN0410,AN0471,AN0607,AN0609,AN10080,AN1017,AN1052,AN10949,AN1189,AN1265,AN1339,AN1628,AN1950,AN2072,AN2130,AN2302,AN2508,AN2846,AN2911,AN2919,AN3587,AN3607,AN3644,AN3681,AN3973,AN4255,AN4402,AN4655,AN4814,AN4920,AN4987,AN4990,AN5132,AN5156,AN5341,AN5378,AN5563,AN5583,AN5757,AN5823,AN5856,AN6541,AN6566,AN6923,AN7250,AN7468,AN7485,AN7567,AN7661,AN7729,AN8029,AN8251,AN8271,AN8540,AN8689,AN8830
TRUE	TRUE	4	GO:0000302	response to reactive oxygen species	0.00906	33	17	6.91	0.515	2.043	AN0170,AN0241,AN0363,AN0394,AN0609,AN1017,AN10220,AN2846,AN3688,AN4758,AN5523,AN5918,AN6849,AN7388,AN7513,AN8643,AN9339
TRUE	TRUE	4	GO:0010847	regulation of chromatin assembly	0.00913	12	7	2.51	0.583	2.04	AN0733,AN1984,AN3067,AN3423,AN5747,AN8039,AN8282
TRUE	TRUE	4	GO:0071495	cellular response to endogenous stimulus	0.00914	16	7	3.35	0.438	2.039	AN0771,AN10949,AN2944,AN3675,AN3941,AN8168,AN8269
TRUE	TRUE	4	GO:0019933	cAMP-mediated signaling	0.00915	14	6	2.93	0.429	2.039	AN0182,AN0651,AN2130,AN2911,AN4419,AN4987
TRUE	TRUE	4	GO:1900377	negative regulation of secondary metabolite biosynthetic process	0.00916	8	4	1.67	0.5	2.038	AN1052,AN3675,AN7513,AN8797
TRUE	TRUE	4	GO:0016241	regulation of macroautophagy	0.00916	14	5	2.93	0.357	2.038	AN0914,AN1017,AN10171,AN4419,AN5131
TRUE	TRUE	4	GO:0051261	protein depolymerization	0.00916	20	6	4.19	0.3	2.038	AN2072,AN2126,AN2484,AN2862,AN3587,AN5129
TRUE	TRUE	4	GO:0019521	D-gluconate metabolic process	0.00926	16	8	3.35	0.5	2.033	AN0285,AN1414,AN2493,AN3641,AN5918,AN7388,AN8553,AN9339
TRUE	TRUE	4	GO:0007231	osmosensory signaling pathway	0.0126	13	9	2.72	0.692	1.9	AN0931,AN1017,AN1358,AN1800,AN2005,AN3688,AN4479,AN4668,AN4745
TRUE	TRUE	4	GO:0042981	regulation of apoptotic process	0.01267	8	5	1.67	0.625	1.897	AN0182,AN0394,AN10614,AN4501,AN8269
TRUE	TRUE	4	GO:1901568	fatty acid derivative metabolic process	0.01267	8	5	1.67	0.625	1.897	AN0593,AN10495,AN5028,AN5669,AN6014
TRUE	TRUE	4	GO:0006338	chromatin remodeling	0.01332	60	19	12.56	0.317	1.875	AN0098,AN0733,AN1984,AN2885,AN2911,AN3067,AN3071,AN3423,AN5099,AN5747,AN6195,AN7297,AN7475,AN8039,AN8211,AN8282,AN8667,AN8978,AN9100
TRUE	TRUE	4	GO:0045944	positive regulation of transcription by RNA polymerase II	0.01397	108	32	22.6	0.296	1.855	AN0241,AN0689,AN0817,AN0891,AN1017,AN10191,AN1303,AN1339,AN1425,AN1518,AN2489,AN2852,AN2911,AN2944,AN2996,AN3224,AN3422,AN3506,AN3675,AN3688,AN4558,AN4570,AN4987,AN5651,AN5747,AN5752,AN6733,AN7468,AN7572,AN7661,AN8978,AN9397
TRUE	TRUE	4	GO:0075308	negative regulation of conidium formation	0.01455	11	6	2.3	0.545	1.837	AN0363,AN1052,AN3607,AN5156,AN8129,AN9121
TRUE	TRUE	4	GO:0000209	protein polyubiquitination	0.01455	11	6	2.3	0.545	1.837	AN0226,AN1339,AN3644,AN5129,AN5681,AN6359
TRUE	TRUE	4	GO:0061641	CENP-A containing chromatin organization	0.01455	11	6	2.3	0.545	1.837	AN3067,AN4360,AN6554,AN8039,AN8187,AN8282
TRUE	TRUE	4	GO:0048585	negative regulation of response to stimulus	0.01471	53	19	11.09	0.358	1.832	AN1017,AN10171,AN1339,AN1358,AN2430,AN2731,AN2911,AN4310,AN4322,AN4745,AN4935,AN4987,AN5003,AN5129,AN5755,AN5893,AN5973,AN6982,AN9504
TRUE	TRUE	4	GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.01485	14	7	2.93	0.5	1.828	AN0363,AN1052,AN3387,AN5170,AN6243,AN7169,AN8262
TRUE	TRUE	4	GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	0.01485	19	8	3.98	0.421	1.828	AN0170,AN0689,AN1017,AN1069,AN4310,AN4745,AN4987,AN8269
TRUE	TRUE	4	GO:0006696	ergosterol biosynthetic process	0.01519	34	14	7.12	0.412	1.818	AN0608,AN0609,AN1339,AN2069,AN2311,AN3869,AN4042,AN4329,AN4923,AN5823,AN6236,AN6973,AN7146,AN7661
TRUE	TRUE	4	GO:0009966	regulation of signal transduction	0.01972	100	31	20.93	0.31	1.705	AN0182,AN0651,AN0931,AN10171,AN10442,AN1283,AN1358,AN2130,AN2430,AN2911,AN3102,AN3422,AN3688,AN4189,AN4322,AN4369,AN4501,AN4702,AN4935,AN4987,AN5660,AN5740,AN5755,AN5893,AN5973,AN6566,AN6982,AN7028,AN7513,AN8234,AN9504
TRUE	TRUE	4	GO:0006109	regulation of carbohydrate metabolic process	0.01974	37	17	7.74	0.459	1.705	AN0410,AN10550,AN10854,AN11098,AN1761,AN2421,AN3369,AN4034,AN4501,AN4987,AN5740,AN6570,AN7468,AN7576,AN7610,AN7661,AN8667
TRUE	TRUE	4	GO:0008643	carbohydrate transport	0.01983	26	12	5.44	0.462	1.703	AN10676,AN10689,AN1085,AN2475,AN3113,AN3515,AN5860,AN6669,AN6923,AN8347,AN8689,AN9168
TRUE	TRUE	4	GO:0043405	regulation of MAP kinase activity	0.01987	13	8	2.72	0.615	1.702	AN0931,AN1358,AN3422,AN4189,AN4702,AN5660,AN5740,AN6982
TRUE	TRUE	4	GO:0062014	negative regulation of small molecule metabolic process	0.01992	11	6	2.3	0.545	1.701	AN1052,AN1761,AN3675,AN4500,AN7513,AN8797
TRUE	TRUE	4	GO:0051403	stress-activated MAPK cascade	0.01992	11	6	2.3	0.545	1.701	AN0931,AN1017,AN2911,AN3102,AN3422,AN6982
TRUE	TRUE	4	GO:0098849	cellular detoxification of cadmium ion	0.01995	6	4	1.26	0.667	1.7	AN12476,AN3150,AN4517,AN7729
TRUE	TRUE	4	GO:0006814	sodium ion transport	0.01995	6	4	1.26	0.667	1.7	AN4101,AN6642,AN6986,AN7250
TRUE	TRUE	4	GO:0043944	negative regulation of asexual sporulation resulting in formation of a cellular spore	0.01995	6	4	1.26	0.667	1.7	AN0082,AN0641,AN2742,AN5028
TRUE	TRUE	4	GO:0042891	antibiotic transport	0.01995	6	4	1.26	0.667	1.7	AN0771,AN10949,AN5226,AN8274
TRUE	TRUE	4	GO:0015740	C4-dicarboxylate transport	0.01995	6	4	1.26	0.667	1.7	AN0066,AN2875,AN6118,AN8785
TRUE	TRUE	4	GO:0033347	tetrose metabolic process	0.01995	6	4	1.26	0.667	1.7	AN4829,AN5563,AN5986,AN7193
TRUE	TRUE	4	GO:0006750	glutathione biosynthetic process	0.01995	6	4	1.26	0.667	1.7	AN12476,AN2846,AN3150,AN4462
TRUE	TRUE	4	GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.02114	18	8	3.77	0.444	1.675	AN0098,AN0182,AN1800,AN3688,AN3719,AN4479,AN4501,AN8414
TRUE	TRUE	4	GO:1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	0.02364	9	5	1.88	0.556	1.626	AN0608,AN0609,AN2855,AN6236,AN8251
TRUE	TRUE	4	GO:0010959	regulation of metal ion transport	0.02364	9	5	1.88	0.556	1.626	AN0176,AN1017,AN5341,AN7297,AN8251
TRUE	TRUE	4	GO:0005992	trehalose biosynthetic process	0.02364	9	5	1.88	0.556	1.626	AN0363,AN10533,AN5523,AN8639,AN9148
TRUE	TRUE	4	GO:0071469	cellular response to alkaline pH	0.02364	9	5	1.88	0.556	1.626	AN1547,AN2855,AN4189,AN6886,AN8251
TRUE	TRUE	4	GO:0070873	regulation of glycogen metabolic process	0.02402	12	6	2.51	0.5	1.619	AN11098,AN2421,AN4987,AN7610,AN7661,AN8667
TRUE	TRUE	4	GO:0006082	organic acid metabolic process	0.02923	588	167	123.06	0.284	1.534	AN0057,AN0148,AN0170,AN0285,AN0314,AN0554,AN0565,AN0593,AN0607,AN0609,AN0640,AN0651,AN0689,AN0780,AN0807,AN0918,AN0936,AN10081,AN10197,AN10299,AN1036,AN1037,AN10512,AN1052,AN10593,AN10599,AN10610,AN10745,AN10841,AN11125,AN11252,AN1198,AN12017,AN1303,AN1334,AN1339,AN1342,AN1414,AN1425,AN1547,AN1778,AN1844,AN1895,AN1918,AN1923,AN1989,AN1990,AN1993,AN2248,AN2311,AN2435,AN2436,AN2493,AN2506,AN2508,AN2509,AN2526,AN2793,AN2855,AN2875,AN2900,AN2914,AN2916,AN2944,AN2998,AN3031,AN3169,AN3223,AN3431,AN3456,AN3607,AN3641,AN3675,AN3719,AN3748,AN3894,AN3901,AN4056,AN4081,AN4159,AN4323,AN4353,AN4361,AN4376,AN4384,AN4401,AN4443,AN4462,AN4769,AN4770,AN4956,AN5028,AN5068,AN5134,AN5200,AN5210,AN5218,AN5444,AN5447,AN5525,AN5604,AN5626,AN5634,AN5651,AN5746,AN5823,AN5886,AN5918,AN5991,AN5999,AN6014,AN6032,AN6048,AN6126,AN6209,AN6279,AN6338,AN6499,AN6525,AN6555,AN6643,AN6650,AN6731,AN6791,AN6840,AN6933,AN6973,AN7008,AN7111,AN7331,AN7387,AN7388,AN7451,AN7564,AN7600,AN7873,AN7878,AN7880,AN8060,AN8075,AN8078,AN8099,AN8117,AN8168,AN8169,AN8188,AN8231,AN8251,AN8277,AN8553,AN8565,AN8667,AN8689,AN8707,AN8741,AN8777,AN8797,AN8815,AN8859,AN8866,AN8886,AN8978,AN9008,AN9064,AN9090,AN9339,AN9408
TRUE	TRUE	4	GO:1901135	carbohydrate derivative metabolic process	0.03021	371	97	77.64	0.261	1.52	AN0067,AN0086,AN0128,AN0210,AN0285,AN0299,AN0351,AN0495,AN0593,AN0640,AN0667,AN0688,AN0787,AN0918,AN1069,AN10709,AN10824,AN10844,AN1102,AN12279,AN12280,AN1396,AN1418,AN1428,AN1547,AN1555,AN1624,AN1918,AN1989,AN2240,AN2303,AN2311,AN2315,AN2335,AN2523,AN2875,AN3169,AN3222,AN3223,AN3547,AN3626,AN3641,AN3787,AN3869,AN3881,AN4071,AN4234,AN4388,AN4462,AN4501,AN4515,AN4566,AN4691,AN4716,AN4859,AN4871,AN4923,AN4991,AN5144,AN5210,AN5237,AN5558,AN5566,AN5589,AN5604,AN5626,AN5682,AN5725,AN5746,AN5888,AN6014,AN6195,AN6209,AN6279,AN6317,AN6318,AN6405,AN6534,AN6541,AN6610,AN6857,AN7028,AN7469,AN7576,AN7588,AN7711,AN8118,AN8121,AN8226,AN8388,AN8457,AN8524,AN8689,AN9064,AN9083,AN9148,AN9426
TRUE	TRUE	4	GO:0019637	organophosphate metabolic process	0.03025	338	89	70.74	0.263	1.519	AN0067,AN0259,AN0270,AN0285,AN0351,AN0495,AN0565,AN0593,AN0640,AN0664,AN0688,AN0716,AN0802,AN0891,AN0913,AN0918,AN0929,AN10156,AN10663,AN10824,AN10844,AN11126,AN11252,AN1357,AN1396,AN1547,AN1624,AN1675,AN1713,AN1918,AN2240,AN2303,AN2311,AN2315,AN2335,AN2509,AN2875,AN3169,AN3177,AN3188,AN3222,AN3223,AN3431,AN3626,AN3641,AN3869,AN4295,AN4388,AN4389,AN4439,AN4462,AN4500,AN4691,AN4778,AN4859,AN4923,AN5144,AN5159,AN5200,AN5210,AN5492,AN5566,AN5589,AN5599,AN5604,AN5626,AN5746,AN5757,AN5888,AN5939,AN6014,AN6195,AN6209,AN6279,AN6534,AN6541,AN6610,AN6824,AN7028,AN7469,AN7588,AN7661,AN7711,AN8118,AN8121,AN8689,AN8837,AN9064,AN9083
TRUE	TRUE	4	GO:0007584	response to nutrient	0.03068	31	14	6.49	0.452	1.513	AN0182,AN0394,AN0554,AN1017,AN2489,AN2944,AN3587,AN3675,AN3688,AN6195,AN6982,AN7468,AN7513,AN8168
TRUE	TRUE	4	GO:0006038	cell wall chitin biosynthetic process	0.03074	10	8	2.09	0.8	1.512	AN1069,AN10709,AN1555,AN4234,AN4501,AN4566,AN6318,AN7576
TRUE	TRUE	4	GO:0033246	positive regulation of penicillin metabolic process	0.03079	11	7	2.3	0.636	1.512	AN0651,AN0807,AN1052,AN1844,AN3719,AN8741,AN9008
TRUE	TRUE	4	GO:0051592	response to calcium ion	0.0308	12	7	2.51	0.583	1.511	AN1189,AN1652,AN4169,AN4614,AN5341,AN6249,AN6566
TRUE	TRUE	4	GO:0006813	potassium ion transport	0.03082	10	6	2.09	0.6	1.511	AN1017,AN1628,AN6642,AN6986,AN7250,AN8029
TRUE	TRUE	4	GO:0006084	acetyl-CoA metabolic process	0.03086	15	6	3.14	0.4	1.511	AN1547,AN2311,AN3869,AN4923,AN5626,AN6279
TRUE	TRUE	4	GO:0042135	neurotransmitter catabolic process	0.03089	9	4	1.88	0.444	1.51	AN1198,AN1429,AN2248,AN2944
TRUE	TRUE	4	GO:0046825	regulation of protein export from nucleus	0.0309	11	4	2.3	0.364	1.51	AN0651,AN1339,AN4501,AN4987
TRUE	TRUE	4	GO:0046618	drug export	0.0309	16	5	3.35	0.312	1.51	AN0771,AN10949,AN2072,AN4477,AN6920
TRUE	TRUE	4	GO:0007165	signal transduction	0.03177	254	80	53.16	0.315	1.498	AN0182,AN0411,AN0651,AN0655,AN0664,AN0931,AN1017,AN10171,AN10227,AN1025,AN10442,AN10614,AN12017,AN1283,AN1334,AN1358,AN1573,AN1800,AN1989,AN2005,AN2062,AN2067,AN2130,AN2430,AN2581,AN2740,AN2742,AN2911,AN3102,AN3214,AN3422,AN3607,AN3688,AN3719,AN3746,AN3941,AN4113,AN4171,AN4189,AN4322,AN4369,AN4419,AN4479,AN4501,AN4668,AN4702,AN4733,AN4745,AN4818,AN4915,AN4935,AN4987,AN5296,AN5341,AN5660,AN5677,AN5740,AN5755,AN5757,AN5768,AN5822,AN5832,AN5893,AN5973,AN6249,AN6566,AN6570,AN6982,AN7028,AN7030,AN7513,AN7572,AN7576,AN7661,AN8234,AN8269,AN8831,AN9008,AN9397,AN9504
TRUE	TRUE	4	GO:0098656	anion transmembrane transport	0.03307	69	24	14.44	0.348	1.481	AN10676,AN10905,AN1339,AN1659,AN2875,AN3304,AN3345,AN3347,AN3663,AN4064,AN4387,AN4402,AN4477,AN4517,AN5226,AN5801,AN6118,AN6279,AN6703,AN7188,AN7729,AN8274,AN8279,AN8785
TRUE	TRUE	4	GO:0003333	amino acid transmembrane transport	0.03345	36	12	7.53	0.333	1.476	AN10905,AN1339,AN1659,AN2875,AN3304,AN3345,AN3347,AN3663,AN4477,AN6118,AN8279,AN8785
TRUE	TRUE	4	GO:0006525	arginine metabolic process	0.03356	24	8	5.02	0.333	1.474	AN0565,AN2914,AN5999,AN8075,AN8231,AN8667,AN8777,AN9090
TRUE	TRUE	4	GO:1990542	mitochondrial transmembrane transport	0.03365	44	11	9.21	0.25	1.473	AN2315,AN3663,AN3690,AN4064,AN4387,AN5129,AN5588,AN6010,AN6279,AN7649,AN8274
TRUE	TRUE	4	GO:0071467	cellular response to pH	0.03674	39	13	8.16	0.333	1.435	AN0766,AN1017,AN1547,AN1844,AN2855,AN2962,AN4189,AN4501,AN4745,AN6731,AN6886,AN6920,AN8251
TRUE	TRUE	4	GO:0071852	fungal-type cell wall organization or biogenesis	0.03795	145	49	30.35	0.338	1.421	AN0241,AN0667,AN0931,AN1017,AN10311,AN1069,AN10709,AN10763,AN11152,AN1189,AN1358,AN1555,AN1573,AN1950,AN2062,AN2067,AN2303,AN2412,AN3113,AN3148,AN3152,AN3422,AN3719,AN3729,AN3730,AN3914,AN4169,AN4189,AN4234,AN4390,AN4419,AN4501,AN4515,AN4566,AN4615,AN5660,AN5740,AN5746,AN6317,AN6318,AN6566,AN6733,AN7511,AN7533,AN7576,AN7657,AN7700,AN8117,AN9380
TRUE	TRUE	4	GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape	0.03888	15	6	3.14	0.4	1.41	AN0182,AN1334,AN2067,AN5740,AN6685,AN7030
TRUE	TRUE	4	GO:0051181	cofactor transport	0.03889	23	13	4.81	0.565	1.41	AN12476,AN1950,AN3150,AN4064,AN4387,AN4517,AN5378,AN7188,AN7304,AN7485,AN7729,AN8274,AN8540
TRUE	TRUE	4	GO:0061912	selective autophagy	0.0389	7	4	1.46	0.571	1.41	AN1339,AN1632,AN4915,AN5131
TRUE	TRUE	4	GO:0034251	regulation of cellular amide catabolic process	0.0389	7	4	1.46	0.571	1.41	AN2270,AN2944,AN8667,AN8777
TRUE	TRUE	4	GO:0006541	glutamine metabolic process	0.0389	7	4	1.46	0.571	1.41	AN0565,AN4159,AN4376,AN5134
TRUE	TRUE	4	GO:0008361	regulation of cell size	0.0389	7	4	1.46	0.571	1.41	AN0817,AN3688,AN3729,AN5740
TRUE	TRUE	4	GO:0051569	regulation of histone H3-K4 methylation	0.0389	7	4	1.46	0.571	1.41	AN3423,AN4570,AN8211,AN8282
TRUE	TRUE	4	GO:0075262	negative regulation of spore-bearing organ development	0.0389	7	4	1.46	0.571	1.41	AN0363,AN1052,AN4483,AN6243
TRUE	TRUE	4	GO:0045991	carbon catabolite activation of transcription	0.0389	7	4	1.46	0.571	1.41	AN0182,AN0554,AN2489,AN7468
TRUE	TRUE	4	GO:0006336	DNA replication-independent nucleosome assembly	0.0389	7	4	1.46	0.571	1.41	AN3067,AN8039,AN8282,AN8863
TRUE	TRUE	4	GO:0046835	carbohydrate phosphorylation	0.0389	7	4	1.46	0.571	1.41	AN4957,AN5144,AN6985,AN8689
TRUE	TRUE	4	GO:1900198	positive regulation of penicillin biosynthetic process	0.0389	7	4	1.46	0.571	1.41	AN0651,AN1052,AN1844,AN9008
TRUE	TRUE	4	GO:0050821	protein stabilization	0.0389	7	4	1.46	0.571	1.41	AN0241,AN1017,AN1780,AN4899
TRUE	TRUE	4	GO:0034411	cell wall (1->3)-beta-D-glucan biosynthetic process	0.0389	7	4	1.46	0.571	1.41	AN3729,AN3730,AN5740,AN7657
TRUE	TRUE	4	GO:1904359	regulation of spore germination	0.0389	7	4	1.46	0.571	1.41	AN0129,AN0914,AN10077,AN4544
TRUE	TRUE	4	GO:1901678	iron coordination entity transport	0.0389	7	4	1.46	0.571	1.41	AN4064,AN5378,AN7485,AN8540
TRUE	TRUE	4	GO:0071472	cellular response to salt stress	0.0389	7	4	1.46	0.571	1.41	AN1624,AN2919,AN4479,AN5563
TRUE	TRUE	4	GO:0046352	disaccharide catabolic process	0.03894	15	5	3.14	0.333	1.41	AN10420,AN11778,AN2017,AN3515,AN9340
TRUE	TRUE	4	GO:0031327	negative regulation of cellular biosynthetic process	0.03902	195	47	40.81	0.241	1.409	AN0295,AN0410,AN10059,AN10191,AN1052,AN10610,AN10763,AN1170,AN1761,AN1984,AN2290,AN2302,AN2489,AN2500,AN2911,AN3067,AN3071,AN3423,AN3468,AN3506,AN3587,AN3675,AN3730,AN3941,AN4034,AN4295,AN4501,AN4570,AN4935,AN5217,AN5351,AN5747,AN6067,AN6070,AN6195,AN6733,AN6982,AN7007,AN7303,AN7468,AN7513,AN8039,AN8168,AN8211,AN8251,AN8282,AN8797
TRUE	TRUE	4	GO:0017001	antibiotic catabolic process	0.03904	29	12	6.07	0.414	1.408	AN0170,AN0689,AN2846,AN5226,AN5626,AN5634,AN5918,AN6279,AN6525,AN6650,AN8978,AN9339
TRUE	TRUE	4	GO:0006334	nucleosome assembly	0.03908	17	9	3.56	0.529	1.408	AN0733,AN0734,AN3067,AN3468,AN3469,AN6554,AN8039,AN8282,AN8863
