SM_gene	Chr	Start	End	Name	Score	Strand	SM_cluster
AN4833	ChrIII_A_nidulans_FGSC_A4	843900	844775	AN4833	0	-	SM_cluster_24
AN4834	ChrIII_A_nidulans_FGSC_A4	841057	842655	AN4834	0	-	SM_cluster_24
AN4835	ChrIII_A_nidulans_FGSC_A4	839594	840738	AN4835	0	+	SM_cluster_24
AN4836	ChrIII_A_nidulans_FGSC_A4	837011	838789	AN4836	0	-	SM_cluster_24
AN4837	ChrIII_A_nidulans_FGSC_A4	833914	836301	AN4837	0	+	SM_cluster_24
AN5317	ChrV_A_nidulans_FGSC_A4	3167232	3168155	AN5317	0	+	SM_cluster_25
AN5318	ChrV_A_nidulans_FGSC_A4	3160478	3164290	AN5318	0	-	SM_cluster_25
AN5319	ChrV_A_nidulans_FGSC_A4	3155969	3157045	AN5319	0	-	SM_cluster_25
AN5320	ChrV_A_nidulans_FGSC_A4	3153806	3155494	AN5320	0	-	SM_cluster_25
AN5321	ChrV_A_nidulans_FGSC_A4	3151778	3153701	AN5321	0	+	SM_cluster_25
AN5322	ChrV_A_nidulans_FGSC_A4	3151242	3151620	AN5322	0	-	SM_cluster_25
AN5323	ChrV_A_nidulans_FGSC_A4	3147961	3150099	AN5323	0	+	SM_cluster_25
AN5324	ChrV_A_nidulans_FGSC_A4	3144367	3145969	AN5324	0	+	SM_cluster_25
AN5325	ChrV_A_nidulans_FGSC_A4	3139539	3140785	AN5325	0	-	SM_cluster_25
AN5326	ChrV_A_nidulans_FGSC_A4	3138217	3139392	AN5326	0	-	SM_cluster_25
AN5327	ChrV_A_nidulans_FGSC_A4	3135761	3138056	AN5327	0	+	SM_cluster_25
AN5328	ChrV_A_nidulans_FGSC_A4	3133386	3134667	AN5328	0	-	SM_cluster_25
AN5329	ChrV_A_nidulans_FGSC_A4	3130528	3132058	AN5329	0	+	SM_cluster_25
AN5989	ChrI_A_nidulans_FGSC_A4	1574145	1575050	AN5989	0	-	SM_cluster_26
AN5990	ChrI_A_nidulans_FGSC_A4	1572262	1574001	AN5990	0	+	SM_cluster_26
AN5991	ChrI_A_nidulans_FGSC_A4	1567745	1571600	AN5991	0	+	SM_cluster_26
AN5992	ChrI_A_nidulans_FGSC_A4	1564660	1567263	AN5992	0	-	SM_cluster_26
AN5993	ChrI_A_nidulans_FGSC_A4	1563650	1564000	AN5993	0	+	SM_cluster_26
AN5994	ChrI_A_nidulans_FGSC_A4	1561062	1562440	AN5994	0	+	SM_cluster_26
AN5995	ChrI_A_nidulans_FGSC_A4	1559404	1560455	AN5995	0	+	SM_cluster_26
AN5996	ChrI_A_nidulans_FGSC_A4	1558420	1558811	AN5996	0	-	SM_cluster_26
AN5997	ChrI_A_nidulans_FGSC_A4	1556973	1557824	AN5997	0	-	SM_cluster_26
AN5998	ChrI_A_nidulans_FGSC_A4	1554947	1556578	AN5998	0	+	SM_cluster_26
AN5999	ChrI_A_nidulans_FGSC_A4	1550371	1554090	AN5999	0	+	SM_cluster_26
AN6000	ChrI_A_nidulans_FGSC_A4	1543570	1549115	AN6000	0	+	SM_cluster_26
AN6001	ChrI_A_nidulans_FGSC_A4	1542141	1543137	AN6001	0	-	SM_cluster_26
AN6002	ChrI_A_nidulans_FGSC_A4	1540742	1541995	AN6002	0	+	SM_cluster_26
AN6003	ChrI_A_nidulans_FGSC_A4	1538326	1539939	AN6003	0	+	SM_cluster_26
AN6004	ChrI_A_nidulans_FGSC_A4	1535202	1536127	AN6004	0	-	SM_cluster_26
AN6005	ChrI_A_nidulans_FGSC_A4	1534432	1534671	AN6005	0	+	SM_cluster_26
AN6006	ChrI_A_nidulans_FGSC_A4	1529853	1533437	AN6006	0	+	SM_cluster_26
AN6007	ChrI_A_nidulans_FGSC_A4	1525129	1529306	AN6007	0	+	SM_cluster_26
AN6236	ChrI_A_nidulans_FGSC_A4	797658	804024	AN6236	0	-	SM_cluster_27
AN6237	ChrI_A_nidulans_FGSC_A4	793306	797305	AN6237	0	+	SM_cluster_27
AN6238	ChrI_A_nidulans_FGSC_A4	790651	792562	AN6238	0	-	SM_cluster_27
AN10816	ChrI_A_nidulans_FGSC_A4	203167	203922	AN10816	0	-	SM_cluster_28
AN6429	ChrI_A_nidulans_FGSC_A4	221236	222640	AN6429	0	+	SM_cluster_28
AN6430	ChrI_A_nidulans_FGSC_A4	218571	220905	AN6430	0	-	SM_cluster_28
AN6431	ChrI_A_nidulans_FGSC_A4	206271	214310	AN6431	0	+	SM_cluster_28
AN6432	ChrI_A_nidulans_FGSC_A4	204476	205690	AN6432	0	-	SM_cluster_28
AN6433	ChrI_A_nidulans_FGSC_A4	200262	201979	AN6433	0	+	SM_cluster_28
AN6434	ChrI_A_nidulans_FGSC_A4	197545	199456	AN6434	0	-	SM_cluster_28
AN6436	ChrI_A_nidulans_FGSC_A4	188038	192285	AN6436	0	-	SM_cluster_29
AN6437	ChrI_A_nidulans_FGSC_A4	185272	186313	AN6437	0	-	SM_cluster_29
AN6438	ChrI_A_nidulans_FGSC_A4	176191	178571	AN6438	0	+	SM_cluster_29
AN6439	ChrI_A_nidulans_FGSC_A4	174504	175633	AN6439	0	+	SM_cluster_29
AN6440	ChrI_A_nidulans_FGSC_A4	172567	173948	AN6440	0	+	SM_cluster_29
AN6441	ChrI_A_nidulans_FGSC_A4	170814	171606	AN6441	0	-	SM_cluster_29
AN6443	ChrI_A_nidulans_FGSC_A4	159082	163453	AN6443	0	+	SM_cluster_29
AN6444	ChrI_A_nidulans_FGSC_A4	155233	158463	AN6444	0	+	SM_cluster_29
AN6445	ChrI_A_nidulans_FGSC_A4	152599	154597	AN6445	0	-	SM_cluster_29
AN6446	ChrI_A_nidulans_FGSC_A4	150482	151771	AN6446	0	+	SM_cluster_29
AN6447	ChrI_A_nidulans_FGSC_A4	147470	149793	AN6447	0	+	SM_cluster_29
AN6448	ChrI_A_nidulans_FGSC_A4	139085	146905	AN6448	0	-	SM_cluster_29
AN6449	ChrI_A_nidulans_FGSC_A4	132653	134483	AN6449	0	+	SM_cluster_29
AN6450	ChrI_A_nidulans_FGSC_A4	131394	132282	AN6450	0	+	SM_cluster_29
AN6451	ChrI_A_nidulans_FGSC_A4	128977	130876	AN6451	0	-	SM_cluster_29
AN6452	ChrI_A_nidulans_FGSC_A4	126550	128898	AN6452	0	+	SM_cluster_29
AN6453	ChrI_A_nidulans_FGSC_A4	124953	126190	AN6453	0	-	SM_cluster_29
AN6454	ChrI_A_nidulans_FGSC_A4	121125	124524	AN6454	0	+	SM_cluster_29
AN6455	ChrI_A_nidulans_FGSC_A4	118209	119247	AN6455	0	+	SM_cluster_29
AN6456	ChrI_A_nidulans_FGSC_A4	116346	117392	AN6456	0	-	SM_cluster_29
AN6457	ChrI_A_nidulans_FGSC_A4	113732	114706	AN6457	0	-	SM_cluster_29
AN6458	ChrI_A_nidulans_FGSC_A4	110529	111748	AN6458	0	+	SM_cluster_29
AN6459	ChrI_A_nidulans_FGSC_A4	108057	110040	AN6459	0	-	SM_cluster_29
AN6460	ChrI_A_nidulans_FGSC_A4	103189	104328	AN6460	0	-	SM_cluster_29
AN6461	ChrI_A_nidulans_FGSC_A4	100208	102090	AN6461	0	+	SM_cluster_29
AN11527	ChrI_A_nidulans_FGSC_A4	3162229	3162567	AN11527	0	-	SM_cluster_30
AN6770	ChrI_A_nidulans_FGSC_A4	3110383	3112895	AN6770	0	+	SM_cluster_30
AN6771	ChrI_A_nidulans_FGSC_A4	3113933	3115826	AN6771	0	-	SM_cluster_30
AN6772	ChrI_A_nidulans_FGSC_A4	3117076	3118194	AN6772	0	+	SM_cluster_30
AN6773	ChrI_A_nidulans_FGSC_A4	3119090	3120436	AN6773	0	-	SM_cluster_30
AN6774	ChrI_A_nidulans_FGSC_A4	3121013	3122435	AN6774	0	-	SM_cluster_30
AN6775	ChrI_A_nidulans_FGSC_A4	3125473	3126668	AN6775	0	-	SM_cluster_30
AN6776	ChrI_A_nidulans_FGSC_A4	3127973	3128734	AN6776	0	+	SM_cluster_30
AN6777	ChrI_A_nidulans_FGSC_A4	3131864	3133527	AN6777	0	-	SM_cluster_30
AN6778	ChrI_A_nidulans_FGSC_A4	3135797	3137655	AN6778	0	-	SM_cluster_30
AN6779	ChrI_A_nidulans_FGSC_A4	3139890	3144575	AN6779	0	+	SM_cluster_30
AN6780	ChrI_A_nidulans_FGSC_A4	3145365	3146034	AN6780	0	+	SM_cluster_30
AN6781	ChrI_A_nidulans_FGSC_A4	3146741	3148397	AN6781	0	+	SM_cluster_30
AN6782	ChrI_A_nidulans_FGSC_A4	3150346	3151819	AN6782	0	-	SM_cluster_30
AN6783	ChrI_A_nidulans_FGSC_A4	3153277	3155066	AN6783	0	+	SM_cluster_30
AN6784	ChrI_A_nidulans_FGSC_A4	3155577	3156969	AN6784	0	-	SM_cluster_30
AN6785	ChrI_A_nidulans_FGSC_A4	3158752	3160359	AN6785	0	+	SM_cluster_30
AN6786	ChrI_A_nidulans_FGSC_A4	3163474	3164261	AN6786	0	-	SM_cluster_30
AN6787	ChrI_A_nidulans_FGSC_A4	3167248	3169074	AN6787	0	+	SM_cluster_30
AN6788	ChrI_A_nidulans_FGSC_A4	3170949	3173090	AN6788	0	-	SM_cluster_30
AN6789	ChrI_A_nidulans_FGSC_A4	3174105	3175160	AN6789	0	+	SM_cluster_30
AN6790	ChrI_A_nidulans_FGSC_A4	3177758	3179747	AN6790	0	-	SM_cluster_30
AN6791	ChrI_A_nidulans_FGSC_A4	3181548	3189431	AN6791	0	+	SM_cluster_30
AN10883	ChrIV_A_nidulans_FGSC_A4	1146498	1147612	AN10883	0	-	SM_cluster_31
AN10884	ChrIV_A_nidulans_FGSC_A4	1131717	1134001	AN10884	0	+	SM_cluster_31
AN10888	ChrIV_A_nidulans_FGSC_A4	1143996	1145836	AN10888	0	-	SM_cluster_31
AN10889	ChrIV_A_nidulans_FGSC_A4	1134037	1135110	AN10889	0	+	SM_cluster_31
AN7061	ChrIV_A_nidulans_FGSC_A4	1154228	1156765	AN7061	0	-	SM_cluster_31
AN7062	ChrIV_A_nidulans_FGSC_A4	1152370	1154145	AN7062	0	+	SM_cluster_31
AN7063	ChrIV_A_nidulans_FGSC_A4	1149509	1151518	AN7063	0	+	SM_cluster_31
AN7064	ChrIV_A_nidulans_FGSC_A4	1147969	1148977	AN7064	0	+	SM_cluster_31
AN7066	ChrIV_A_nidulans_FGSC_A4	1141923	1143753	AN7066	0	+	SM_cluster_31
AN7067	ChrIV_A_nidulans_FGSC_A4	1139548	1141366	AN7067	0	+	SM_cluster_31
AN7068	ChrIV_A_nidulans_FGSC_A4	1136895	1138898	AN7068	0	-	SM_cluster_31
AN7070	ChrIV_A_nidulans_FGSC_A4	1129968	1131258	AN7070	0	-	SM_cluster_31
AN7071	ChrIV_A_nidulans_FGSC_A4	1123410	1129372	AN7071	0	-	SM_cluster_31
AN7072	ChrIV_A_nidulans_FGSC_A4	1121945	1122955	AN7072	0	+	SM_cluster_31
AN7073	ChrIV_A_nidulans_FGSC_A4	1119359	1120517	AN7073	0	-	SM_cluster_31
AN7074	ChrIV_A_nidulans_FGSC_A4	1118011	1118991	AN7074	0	+	SM_cluster_31
AN7075	ChrIV_A_nidulans_FGSC_A4	1115410	1117004	AN7075	0	-	SM_cluster_31
AN10886	ChrIV_A_nidulans_FGSC_A4	1091126	1092711	AN10886	0	-	SM_cluster_32
AN10887	ChrIV_A_nidulans_FGSC_A4	1089070	1090733	AN10887	0	-	SM_cluster_32
AN7081	ChrIV_A_nidulans_FGSC_A4	1093550	1095405	AN7081	0	-	SM_cluster_32
AN7083	ChrIV_A_nidulans_FGSC_A4	1087980	1088991	AN7083	0	+	SM_cluster_32
AN7084	ChrIV_A_nidulans_FGSC_A4	1079494	1087114	AN7084	0	-	SM_cluster_32
AN7086	ChrIV_A_nidulans_FGSC_A4	1073452	1074907	AN7086	0	+	SM_cluster_32
AN7087	ChrIV_A_nidulans_FGSC_A4	1069342	1070163	AN7087	0	-	SM_cluster_32
AN7088	ChrIV_A_nidulans_FGSC_A4	1066221	1067945	AN7088	0	+	SM_cluster_32
AN7089	ChrIV_A_nidulans_FGSC_A4	1063753	1066075	AN7089	0	+	SM_cluster_32
AN7485	ChrIV_A_nidulans_FGSC_A4	1695910	1697967	AN7485	0	+	SM_cluster_33
AN7487	ChrIV_A_nidulans_FGSC_A4	1699871	1700828	AN7487	0	+	SM_cluster_33
AN7488	ChrIV_A_nidulans_FGSC_A4	1701679	1703076	AN7488	0	-	SM_cluster_33
AN7489	ChrIV_A_nidulans_FGSC_A4	1703511	1705316	AN7489	0	+	SM_cluster_33
AN11013	ChrIV_A_nidulans_FGSC_A4	2753658	2755214	AN11013	0	+	SM_cluster_34
AN11017	ChrIV_A_nidulans_FGSC_A4	2752937	2753474	AN11017	0	+	SM_cluster_34
AN11021	ChrIV_A_nidulans_FGSC_A4	2768831	2769246	AN11021	0	+	SM_cluster_34
AN7806	ChrIV_A_nidulans_FGSC_A4	2741252	2742146	AN7806	0	+	SM_cluster_34
AN7807	ChrIV_A_nidulans_FGSC_A4	2742345	2743058	AN7807	0	-	SM_cluster_34
AN7808	ChrIV_A_nidulans_FGSC_A4	2743868	2745384	AN7808	0	+	SM_cluster_34
AN7809	ChrIV_A_nidulans_FGSC_A4	2745643	2747209	AN7809	0	-	SM_cluster_34
AN7810	ChrIV_A_nidulans_FGSC_A4	2747369	2748193	AN7810	0	+	SM_cluster_34
AN7811	ChrIV_A_nidulans_FGSC_A4	2749789	2750682	AN7811	0	+	SM_cluster_34
AN7812	ChrIV_A_nidulans_FGSC_A4	2750717	2752727	AN7812	0	-	SM_cluster_34
AN7814	ChrIV_A_nidulans_FGSC_A4	2755354	2761273	AN7814	0	-	SM_cluster_34
AN7815	ChrIV_A_nidulans_FGSC_A4	2761768	2766495	AN7815	0	+	SM_cluster_34
AN7816	ChrIV_A_nidulans_FGSC_A4	2767643	2768638	AN7816	0	-	SM_cluster_34
AN7817	ChrIV_A_nidulans_FGSC_A4	2769326	2770312	AN7817	0	-	SM_cluster_34
AN7818	ChrIV_A_nidulans_FGSC_A4	2770518	2772051	AN7818	0	+	SM_cluster_34
AN7819	ChrIV_A_nidulans_FGSC_A4	2773072	2774354	AN7819	0	-	SM_cluster_34
AN7820	ChrIV_A_nidulans_FGSC_A4	2774856	2776157	AN7820	0	+	SM_cluster_34
AN7821	ChrIV_A_nidulans_FGSC_A4	2776485	2777455	AN7821	0	-	SM_cluster_34
AN7822	ChrIV_A_nidulans_FGSC_A4	2777784	2778173	AN7822	0	-	SM_cluster_34
AN7823	ChrIV_A_nidulans_FGSC_A4	2779294	2780211	AN7823	0	+	SM_cluster_34
AN7824	ChrIV_A_nidulans_FGSC_A4	2781109	2782732	AN7824	0	-	SM_cluster_34
AN7825	ChrIV_A_nidulans_FGSC_A4	2783098	2789889	AN7825	0	+	SM_cluster_34
AN7839	ChrIV_A_nidulans_FGSC_A4	2832751	2837949	AN7839	0	-	SM_cluster_35
AN11028	ChrII_A_nidulans_FGSC_A4	111206	112386	AN11028	0	+	SM_cluster_36
AN11031	ChrII_A_nidulans_FGSC_A4	113469	115453	AN11031	0	+	SM_cluster_36
AN7873	ChrII_A_nidulans_FGSC_A4	81981	88480	AN7873	0	-	SM_cluster_36
AN7874	ChrII_A_nidulans_FGSC_A4	89355	90365	AN7874	0	+	SM_cluster_36
AN7875	ChrII_A_nidulans_FGSC_A4	90612	91135	AN7875	0	-	SM_cluster_36
AN7876	ChrII_A_nidulans_FGSC_A4	91760	93086	AN7876	0	+	SM_cluster_36
AN7877	ChrII_A_nidulans_FGSC_A4	93359	94602	AN7877	0	-	SM_cluster_36
AN7878	ChrII_A_nidulans_FGSC_A4	95171	96481	AN7878	0	+	SM_cluster_36
AN7879	ChrII_A_nidulans_FGSC_A4	96718	101816	AN7879	0	-	SM_cluster_36
AN7880	ChrII_A_nidulans_FGSC_A4	102918	108494	AN7880	0	+	SM_cluster_36
AN7881	ChrII_A_nidulans_FGSC_A4	108700	110544	AN7881	0	-	SM_cluster_36
AN7883	ChrII_A_nidulans_FGSC_A4	115974	116675	AN7883	0	-	SM_cluster_36
AN7884	ChrII_A_nidulans_FGSC_A4	118328	139584	AN7884	0	+	SM_cluster_36
AN7905	ChrII_A_nidulans_FGSC_A4	197487	198368	AN7905	0	-	SM_cluster_37
AN7906	ChrII_A_nidulans_FGSC_A4	201030	201832	AN7906	0	+	SM_cluster_37
AN7907	ChrII_A_nidulans_FGSC_A4	202293	202844	AN7907	0	-	SM_cluster_37
AN7908	ChrII_A_nidulans_FGSC_A4	206177	207154	AN7908	0	-	SM_cluster_37
AN7909	ChrII_A_nidulans_FGSC_A4	207766	214267	AN7909	0	-	SM_cluster_37
AN7911	ChrII_A_nidulans_FGSC_A4	215898	216960	AN7911	0	-	SM_cluster_37
AN7912	ChrII_A_nidulans_FGSC_A4	217330	218607	AN7912	0	+	SM_cluster_37
AN7913	ChrII_A_nidulans_FGSC_A4	219025	220864	AN7913	0	-	SM_cluster_37
AN7914	ChrII_A_nidulans_FGSC_A4	221084	222186	AN7914	0	+	SM_cluster_37
AN7915	ChrII_A_nidulans_FGSC_A4	223145	225686	AN7915	0	-	SM_cluster_37
AN7916	ChrII_A_nidulans_FGSC_A4	226926	228844	AN7916	0	-	SM_cluster_37
AN7917	ChrII_A_nidulans_FGSC_A4	229458	231020	AN7917	0	-	SM_cluster_37
AN7918	ChrII_A_nidulans_FGSC_A4	231522	232250	AN7918	0	+	SM_cluster_37
AN7919	ChrII_A_nidulans_FGSC_A4	232290	234920	AN7919	0	-	SM_cluster_37
AN7920	ChrII_A_nidulans_FGSC_A4	235552	236628	AN7920	0	+	SM_cluster_37
AN7921	ChrII_A_nidulans_FGSC_A4	239284	241568	AN7921	0	+	SM_cluster_37
AN7922	ChrII_A_nidulans_FGSC_A4	241588	242503	AN7922	0	-	SM_cluster_37
AN7923	ChrII_A_nidulans_FGSC_A4	242821	243972	AN7923	0	+	SM_cluster_37
AN11037	ChrII_A_nidulans_FGSC_A4	774038	775268	AN11037	0	+	SM_cluster_38
AN11049	ChrII_A_nidulans_FGSC_A4	775881	777130	AN11049	0	+	SM_cluster_38
AN8103	ChrII_A_nidulans_FGSC_A4	762922	763588	AN8103	0	-	SM_cluster_38
AN8104	ChrII_A_nidulans_FGSC_A4	764388	765299	AN8104	0	+	SM_cluster_38
AN8105	ChrII_A_nidulans_FGSC_A4	766660	769893	AN8105	0	-	SM_cluster_38
AN8106	ChrII_A_nidulans_FGSC_A4	771860	772905	AN8106	0	-	SM_cluster_38
AN8108	ChrII_A_nidulans_FGSC_A4	777936	779374	AN8108	0	+	SM_cluster_38
AN8110	ChrII_A_nidulans_FGSC_A4	782561	783621	AN8110	0	+	SM_cluster_38
AN8111	ChrII_A_nidulans_FGSC_A4	783738	786158	AN8111	0	-	SM_cluster_38
AN8112	ChrII_A_nidulans_FGSC_A4	786615	788423	AN8112	0	-	SM_cluster_38
AN8113	ChrII_A_nidulans_FGSC_A4	789318	790185	AN8113	0	+	SM_cluster_38
AN11077	ChrV_A_nidulans_FGSC_A4	321542	322336	AN11077	0	+	SM_cluster_39
AN11085	ChrV_A_nidulans_FGSC_A4	323651	324653	AN11085	0	+	SM_cluster_39
AN8383	ChrV_A_nidulans_FGSC_A4	307999	315732	AN8383	0	-	SM_cluster_39
AN8384	ChrV_A_nidulans_FGSC_A4	317025	318041	AN8384	0	+	SM_cluster_39
AN8385	ChrV_A_nidulans_FGSC_A4	319970	320587	AN8385	0	-	SM_cluster_39
AN8387	ChrV_A_nidulans_FGSC_A4	328335	328999	AN8387	0	+	SM_cluster_39
AN8388	ChrV_A_nidulans_FGSC_A4	331637	333065	AN8388	0	+	SM_cluster_39
AN8389	ChrV_A_nidulans_FGSC_A4	333738	335287	AN8389	0	+	SM_cluster_39
AN8390	ChrV_A_nidulans_FGSC_A4	335436	336451	AN8390	0	-	SM_cluster_39
AN8391	ChrV_A_nidulans_FGSC_A4	338956	340897	AN8391	0	+	SM_cluster_39
AN8392	ChrV_A_nidulans_FGSC_A4	341737	344192	AN8392	0	+	SM_cluster_39
AN8393	ChrV_A_nidulans_FGSC_A4	346026	346460	AN8393	0	+	SM_cluster_39
AN8394	ChrV_A_nidulans_FGSC_A4	347809	349417	AN8394	0	+	SM_cluster_39
AN8395	ChrV_A_nidulans_FGSC_A4	349840	350832	AN8395	0	-	SM_cluster_39
AN8398	ChrV_A_nidulans_FGSC_A4	359042	360210	AN8398	0	+	SM_cluster_40
AN8399	ChrV_A_nidulans_FGSC_A4	361088	364883	AN8399	0	+	SM_cluster_40
AN8400	ChrV_A_nidulans_FGSC_A4	365800	368048	AN8400	0	-	SM_cluster_40
AN8401	ChrV_A_nidulans_FGSC_A4	368797	371088	AN8401	0	-	SM_cluster_40
AN8402	ChrV_A_nidulans_FGSC_A4	373516	374142	AN8402	0	-	SM_cluster_40
AN8403	ChrV_A_nidulans_FGSC_A4	374556	375556	AN8403	0	+	SM_cluster_40
AN8404	ChrV_A_nidulans_FGSC_A4	375997	376704	AN8404	0	+	SM_cluster_40
AN8405	ChrV_A_nidulans_FGSC_A4	377550	379483	AN8405	0	-	SM_cluster_40
AN8406	ChrV_A_nidulans_FGSC_A4	381447	382489	AN8406	0	-	SM_cluster_40
AN8407	ChrV_A_nidulans_FGSC_A4	383386	384570	AN8407	0	+	SM_cluster_40
AN8408	ChrV_A_nidulans_FGSC_A4	387188	389151	AN8408	0	-	SM_cluster_40
AN8409	ChrV_A_nidulans_FGSC_A4	389518	390678	AN8409	0	+	SM_cluster_40
AN8410	ChrV_A_nidulans_FGSC_A4	391209	393045	AN8410	0	+	SM_cluster_40
AN8411	ChrV_A_nidulans_FGSC_A4	394161	395840	AN8411	0	-	SM_cluster_40
AN8412	ChrV_A_nidulans_FGSC_A4	396316	408251	AN8412	0	+	SM_cluster_40
AN8413	ChrV_A_nidulans_FGSC_A4	409381	410739	AN8413	0	-	SM_cluster_40
AN8414	ChrV_A_nidulans_FGSC_A4	411565	413853	AN8414	0	+	SM_cluster_40
AN8506	ChrV_A_nidulans_FGSC_A4	719362	721947	AN8506	0	-	SM_cluster_41
AN8507	ChrV_A_nidulans_FGSC_A4	722253	723855	AN8507	0	+	SM_cluster_41
AN8508	ChrV_A_nidulans_FGSC_A4	725232	726415	AN8508	0	+	SM_cluster_41
AN8509	ChrV_A_nidulans_FGSC_A4	727223	728785	AN8509	0	+	SM_cluster_41
AN8510	ChrV_A_nidulans_FGSC_A4	729199	731065	AN8510	0	-	SM_cluster_41
AN8511	ChrV_A_nidulans_FGSC_A4	731889	733135	AN8511	0	+	SM_cluster_41
AN8512	ChrV_A_nidulans_FGSC_A4	734169	735426	AN8512	0	+	SM_cluster_41
AN8513	ChrV_A_nidulans_FGSC_A4	735713	738625	AN8513	0	-	SM_cluster_41
AN8514	ChrV_A_nidulans_FGSC_A4	739015	740407	AN8514	0	+	SM_cluster_41
AN8516	ChrV_A_nidulans_FGSC_A4	742772	744015	AN8516	0	+	SM_cluster_41
AN11143	ChrVII_A_nidulans_FGSC_A4	503758	505829	AN11143	0	-	SM_cluster_42
AN11149	ChrVII_A_nidulans_FGSC_A4	501384	503301	AN11149	0	-	SM_cluster_42
AN8901	ChrVII_A_nidulans_FGSC_A4	513572	515149	AN8901	0	-	SM_cluster_42
AN8902	ChrVII_A_nidulans_FGSC_A4	510903	513186	AN8902	0	+	SM_cluster_42
AN8903	ChrVII_A_nidulans_FGSC_A4	508308	510359	AN8903	0	+	SM_cluster_42
AN8905	ChrVII_A_nidulans_FGSC_A4	498741	500516	AN8905	0	+	SM_cluster_42
AN8906	ChrVII_A_nidulans_FGSC_A4	497692	498525	AN8906	0	-	SM_cluster_42
AN8907	ChrVII_A_nidulans_FGSC_A4	496074	497040	AN8907	0	-	SM_cluster_42
AN8908	ChrVII_A_nidulans_FGSC_A4	491892	492728	AN8908	0	+	SM_cluster_42
AN8909	ChrVII_A_nidulans_FGSC_A4	489393	490520	AN8909	0	+	SM_cluster_42
AN8910	ChrVII_A_nidulans_FGSC_A4	481320	489055	AN8910	0	+	SM_cluster_42
AN9002	ChrVII_A_nidulans_FGSC_A4	168728	169902	AN9002	0	-	SM_cluster_43
AN9003	ChrVII_A_nidulans_FGSC_A4	164400	168569	AN9003	0	+	SM_cluster_43
AN9004	ChrVII_A_nidulans_FGSC_A4	161720	163663	AN9004	0	+	SM_cluster_43
AN9005	ChrVII_A_nidulans_FGSC_A4	152386	160547	AN9005	0	+	SM_cluster_43
AN9006	ChrVII_A_nidulans_FGSC_A4	151066	151647	AN9006	0	-	SM_cluster_43
AN9007	ChrVII_A_nidulans_FGSC_A4	147900	149790	AN9007	0	+	SM_cluster_43
AN9008	ChrVII_A_nidulans_FGSC_A4	141411	145309	AN9008	0	-	SM_cluster_43
AN9009	ChrVII_A_nidulans_FGSC_A4	140489	141154	AN9009	0	+	SM_cluster_43
AN9010	ChrVII_A_nidulans_FGSC_A4	137873	139824	AN9010	0	-	SM_cluster_43
AN9011	ChrVII_A_nidulans_FGSC_A4	135753	137748	AN9011	0	+	SM_cluster_43
AN9012	ChrVII_A_nidulans_FGSC_A4	133560	134456	AN9012	0	-	SM_cluster_43
AN9013	ChrVII_A_nidulans_FGSC_A4	131163	133462	AN9013	0	+	SM_cluster_43
AN11193	ChrVI_A_nidulans_FGSC_A4	23863	26138	AN11193	0	-	SM_cluster_44
AN11194	ChrVI_A_nidulans_FGSC_A4	20154	21606	AN11194	0	-	SM_cluster_44
AN11201	ChrVI_A_nidulans_FGSC_A4	22217	23434	AN11201	0	-	SM_cluster_44
AN11202	ChrVI_A_nidulans_FGSC_A4	18452	19791	AN11202	0	-	SM_cluster_44
AN9223	ChrVI_A_nidulans_FGSC_A4	43596	44582	AN9223	0	+	SM_cluster_44
AN9224	ChrVI_A_nidulans_FGSC_A4	40427	41758	AN9224	0	+	SM_cluster_44
AN9225	ChrVI_A_nidulans_FGSC_A4	38066	39794	AN9225	0	-	SM_cluster_44
AN9226	ChrVI_A_nidulans_FGSC_A4	29167	37503	AN9226	0	+	SM_cluster_44
AN9227	ChrVI_A_nidulans_FGSC_A4	27685	28611	AN9227	0	+	SM_cluster_44
AN9230	ChrVI_A_nidulans_FGSC_A4	14407	16586	AN9230	0	-	SM_cluster_44
AN9231	ChrVI_A_nidulans_FGSC_A4	12115	13997	AN9231	0	+	SM_cluster_44
AN9232	ChrVI_A_nidulans_FGSC_A4	10634	11449	AN9232	0	+	SM_cluster_44
AN9233	ChrVI_A_nidulans_FGSC_A4	8800	10071	AN9233	0	-	SM_cluster_44
AN9234	ChrVI_A_nidulans_FGSC_A4	5379	6480	AN9234	0	+	SM_cluster_44
AN9235	ChrVI_A_nidulans_FGSC_A4	3693	4756	AN9235	0	-	SM_cluster_44
AN9236	ChrVI_A_nidulans_FGSC_A4	1049	2798	AN9236	0	+	SM_cluster_44
AN9244	ChrVIII_A_nidulans_FGSC_A4	43423	50358	AN9244	0	-	SM_cluster_45
AN9245	ChrVIII_A_nidulans_FGSC_A4	51865	53997	AN9245	0	+	SM_cluster_45
AN9246	ChrVIII_A_nidulans_FGSC_A4	54325	55221	AN9246	0	-	SM_cluster_45
AN9247	ChrVIII_A_nidulans_FGSC_A4	55687	56163	AN9247	0	+	SM_cluster_45
AN9248	ChrVIII_A_nidulans_FGSC_A4	57146	58996	AN9248	0	-	SM_cluster_45
AN9249	ChrVIII_A_nidulans_FGSC_A4	59583	60345	AN9249	0	-	SM_cluster_45
AN9250	ChrVIII_A_nidulans_FGSC_A4	61263	62813	AN9250	0	-	SM_cluster_45
AN9251	ChrVIII_A_nidulans_FGSC_A4	63022	64961	AN9251	0	+	SM_cluster_45
